No,year,month,day,hour,season,PM_Jingan,PM_US Post,PM_Xuhui,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
56,2013,1,31,13,4,7,35,45,7,51.75,1020,17,SE,160,0,0
57,2013,1,31,14,4,37,40,48,7,51.75,1019,17,SE,166,0,0
58,2013,1,31,15,4,46,49,45,6,48.31,1018,17,SE,172,0,0
59,2013,1,31,16,4,45,46,42,6,48.31,1018,17,SE,177,0,0
60,2013,1,31,17,4,41,NA,46,7,55.15,1018,16,SE,180,0,0
61,2013,1,31,18,4,47,48,47,8,59.04,1018,16,SE,185,0,0
62,2013,1,31,19,4,61,55,51,8,62.95,1018,15,SE,189,0,0
63,2013,1,31,20,4,60,62,56,8,62.95,1018,15,SE,194,0,0
64,2013,1,31,21,4,57,60,60,9,71.85,1018,14,SE,198,0,0
65,2013,1,31,22,4,65,58,66,9,71.85,1018,14,SE,202,0,0
66,2013,1,31,23,4,56,58,67,10,82.01,1018,13,SE,205,0.4,0.4
67,2013,2,1,0,4,56,57,58,10,82.01,1018,13,SE,207,1.4,1.8
68,2013,2,1,1,4,NA,44,NA,10,87.57,1017,12,SE,210,2.3,4.1
69,2013,2,1,2,4,47,45,57,11,93.6,1017,12,SE,212,2.5,6.6
70,2013,2,1,3,4,NA,48,NA,11,93.6,1016,12,SE,215,1.2,7.8
71,2013,2,1,4,4,50,41,46,11,93.6,1017,12,SE,217,7.4,15.2
72,2013,2,1,5,4,52,50,52,11,93.6,1017,12,SW,2,3.8,19
73,2013,2,1,6,4,52,50,50,11,93.6,1017,12,SE,2,1.7,20.7
74,2013,2,1,7,4,NA,53,NA,11,93.6,1017,12,SE,3,0,0
75,2013,2,1,8,4,63,50,64,12,93.65,1018,13,SE,4,0,0
76,2013,2,1,9,4,66,64,67,13,100,1019,13,SW,1,0,0
77,2013,2,1,10,4,81,70,80,12,93.65,1020,13,SW,3,0,0
78,2013,2,1,11,4,106,99,107,12,87.75,1020,14,NW,4,0,0
79,2013,2,1,12,4,114,105,110,13,87.84,1020,15,NW,9,0,0
80,2013,2,1,13,4,101,105,93,12,82.27,1020,15,NW,14,0,0
81,2013,2,1,14,4,116,102,106,12,87.75,1020,14,NW,19,0,0
82,2013,2,1,15,4,129,132,115,12,87.75,1021,14,NW,25,0,0
83,2013,2,1,16,4,130,120,117,11,87.66,1022,13,NW,31,0,0
84,2013,2,1,17,4,113,133,123,10,87.57,1023,12,NE,6,0,0
85,2013,2,1,18,4,99,105,94,9,93.5,1024,10,NE,11,0,0
86,2013,2,1,19,4,95,99,102,9,93.5,1025,10,NE,16,0,0
87,2013,2,1,20,4,100,96,100,8,87.38,1026,10,NE,21,0,0
88,2013,2,1,21,4,102,99,99,8,87.38,1026,10,NE,26,0,0
89,2013,2,1,22,4,117,116,103,8,87.38,1027,10,NE,30,0,0
90,2013,2,1,23,4,103,102,104,7,87.28,1027,9,NE,34,0,0
91,2013,2,2,0,4,100,81,94,6,87.19,1027,8,NE,39,0,0
92,2013,2,2,1,4,121,134,107,5,81.34,1028,8,NE,45,0,0
93,2013,2,2,2,4,104,110,104,5,87.09,1028,7,NE,52,0,0
94,2013,2,2,3,4,99,101,93,5,93.29,1028,6,NE,59,0,0
95,2013,2,2,4,4,115,116,107,5,93.29,1029,6,NE,65,0,0
96,2013,2,2,5,4,101,115,98,5,93.29,1028,6,NE,70,0,0
97,2013,2,2,6,4,84,91,84,5,87.09,1029,7,NE,76,0,0
98,2013,2,2,7,4,83,82,78,4,86.99,1030,6,NE,81,0,0
99,2013,2,2,8,4,74,76,66,3,75.67,1030,7,NE,86,0,0
100,2013,2,2,9,4,64,62,56,3,75.67,1031,7,NE,92,0,0
101,2013,2,2,10,4,57,58,50,2,65.82,1031,8,NE,97,0,0
102,2013,2,2,11,4,49,51,50,3,70.67,1031,8,NE,101,0,0
103,2013,2,2,12,4,44,48,50,2,61.51,1030,9,NE,106,0,0
104,2013,2,2,13,4,36,31,40,2,57.51,1030,10,NE,111,0,0
105,2013,2,2,14,4,34,35,33,2,57.51,1029,10,NE,116,0,0
106,2013,2,2,15,4,27,26,29,2,61.51,1029,9,NE,122,0,0
107,2013,2,2,16,4,25,31,25,1,57.25,1029,9,NE,127,0,0
108,2013,2,2,17,4,27,31,25,1,61.26,1030,8,NE,133,0,0
109,2013,2,2,18,4,27,31,24,1,65.59,1030,7,NE,138,0,0
110,2013,2,2,19,4,23,28,19,1,70.27,1030,6,NE,143,0,0
111,2013,2,2,20,4,22,28,16,1,70.27,1031,6,NE,147,0,0
112,2013,2,2,21,4,21,24,14,1,70.27,1030,6,NE,152,0,0
113,2013,2,2,22,4,22,16,13,2,75.49,1030,6,NE,157,0,0
114,2013,2,2,23,4,18,15,15,2,70.47,1029,7,NE,161,0,0
115,2013,2,3,0,4,14,16,13,3,75.67,1028,7,NE,165,0,0
116,2013,2,3,1,4,18,17,14,3,75.67,1027,7,SE,4,0,0
117,2013,2,3,2,4,16,14,8,3,75.67,1027,7,SE,8,0,0
118,2013,2,3,3,4,15,13,13,3,75.67,1026,7,SE,12,0,0
119,2013,2,3,4,4,15,14,16,3,70.67,1025,8,SE,16,0,0
120,2013,2,3,5,4,13,15,14,3,70.67,1025,8,SE,20,0,0
121,2013,2,3,6,4,18,20,16,4,75.84,1024,8,SE,25,0,0
122,2013,2,3,7,4,17,13,21,4,75.84,1024,8,SE,30,0,0
123,2013,2,3,8,4,18,18,19,5,76.01,1023,9,SE,35,0,0
124,2013,2,3,9,4,21,20,20,5,71.07,1023,10,SE,41,0,0
125,2013,2,3,10,4,27,21,21,6,71.27,1023,11,SE,47,0,0
126,2013,2,3,11,4,27,27,19,5,66.49,1021,11,SE,55,0,0
127,2013,2,3,12,4,24,24,23,6,71.27,1020,11,SE,64,0,0
128,2013,2,3,13,4,26,22,26,7,71.47,1019,12,SE,72,0,0
129,2013,2,3,14,4,31,25,27,8,76.52,1017,12,SE,78,0,0
130,2013,2,3,15,4,30,30,28,9,81.88,1016,12,SE,85,0,0
131,2013,2,3,16,4,30,26,27,9,76.68,1015,13,SE,91,0,0
132,2013,2,3,17,4,27,26,26,9,76.68,1014,13,SE,96,0,0
133,2013,2,3,18,4,27,23,27,9,81.88,1014,12,SE,102,0,0
134,2013,2,3,19,4,29,30,26,9,81.88,1014,12,SE,106,0,0
135,2013,2,3,20,4,27,27,27,10,87.57,1014,12,SE,109,0,0
136,2013,2,3,21,4,31,35,35,9,87.47,1014,11,SE,111,0,0
137,2013,2,3,22,4,37,40,38,10,87.57,1014,12,SE,112,0,0
138,2013,2,3,23,4,47,39,42,10,93.55,1014,11,SW,2,0,0
139,2013,2,4,0,4,55,48,46,10,93.55,1014,11,SW,3,0,0
140,2013,2,4,1,4,74,55,64,10,93.55,1015,11,NW,2,0,0
141,2013,2,4,2,4,77,74,70,8,87.38,1015,10,NW,4,0,0
142,2013,2,4,3,4,91,81,76,8,93.45,1016,9,NW,6,0,0
143,2013,2,4,4,4,104,93,101,9,87.47,1016,11,NW,10,0,0
144,2013,2,4,5,4,109,98,105,9,87.47,1017,11,NW,14,0,0
145,2013,2,4,6,4,112,113,111,9,87.47,1019,11,NW,19,0,0
146,2013,2,4,7,4,104,103,118,8,81.75,1020,11,NW,25,0,0
147,2013,2,4,8,4,109,100,101,8,87.38,1021,10,NW,31,0,0
148,2013,2,4,9,4,122,118,116,7,81.61,1022,10,NW,37,0,0
149,2013,2,4,10,4,NA,105,NA,7,81.61,1023,10,NW,43,0,0
150,2013,2,4,11,4,64,79,73,5,76.01,1023,9,NE,7,0,0
151,2013,2,4,12,4,46,64,49,6,81.48,1023,9,NE,14,0,0
152,2013,2,4,13,4,30,37,38,6,81.48,1023,9,NE,21,0,0
153,2013,2,4,14,4,NA,34,NA,6,87.19,1023,8,NE,27,0,0
154,2013,2,4,15,4,28,29,26,5,81.34,1023,8,NE,34,0,0
155,2013,2,4,16,4,24,33,22,5,81.34,1024,8,NE,40,0,0
156,2013,2,4,17,4,24,24,22,4,75.84,1024,8,NE,47,0,0
157,2013,2,4,18,4,20,32,25,3,70.67,1025,8,NE,52,0,0
158,2013,2,4,19,4,29,38,23,3,75.67,1025,7,NE,57,0,0
159,2013,2,4,20,4,28,41,27,3,75.67,1025,7,NE,63,0,0
160,2013,2,4,21,4,30,34,29,3,75.67,1025,7,NE,67,0,0
161,2013,2,4,22,4,32,34,29,3,75.67,1025,7,NE,71,0,0
162,2013,2,4,23,4,30,33,28,3,75.67,1024,7,NE,75,0,0
163,2013,2,5,0,4,33,40,30,3,75.67,1023,7,NE,78,0.7,0.7
164,2013,2,5,1,4,35,47,33,4,81.2,1022,7,NE,82,1.7,2.4
165,2013,2,5,2,4,35,40,34,5,93.29,1022,6,NE,85,2.1,4.5
166,2013,2,5,3,4,35,44,30,5,93.29,1022,6,NE,88,1.4,5.9
167,2013,2,5,4,4,35,40,NA,6,93.35,1020,7,NE,92,0,0
168,2013,2,5,5,4,39,42,NA,6,93.35,1019,7,NE,96,0,0
169,2013,2,5,6,4,39,49,NA,6,93.35,1020,7,NE,100,0.2,0.2
170,2013,2,5,7,4,35,45,NA,6,93.35,1019,7,NE,104,0,0
171,2013,2,5,8,4,35,42,36,6,87.19,1018,8,NE,108,0.1,0.1
172,2013,2,5,9,4,34,48,37,7,93.4,1018,8,NE,113,1.2,1.3
173,2013,2,5,10,4,39,48,34,7,93.4,1018,8,NE,118,0.6,1.9
174,2013,2,5,11,4,34,36,42,7,93.4,1017,8,SE,5,2.4,4.3
175,2013,2,5,12,4,24,36,32,8,93.45,1017,9,NE,3,0.4,4.7
176,2013,2,5,13,4,35,41,30,8,100,1016,8,NE,7,1.2,5.9
177,2013,2,5,14,4,40,35,24,8,100,1015,8,NE,10,0,0
178,2013,2,5,15,4,29,33,26,7,93.4,1016,8,NE,15,0,0
179,2013,2,5,16,4,33,39,33,6,93.35,1017,7,NE,20,0,0
180,2013,2,5,17,4,30,42,33,6,93.35,1018,7,NE,26,0,0
181,2013,2,5,18,4,29,48,26,6,100,1020,6,NE,31,0,0
182,2013,2,5,19,4,25,39,25,5,93.29,1021,6,NE,36,0,0
183,2013,2,5,20,4,27,34,28,5,93.29,1022,6,NW,5,0,0
184,2013,2,5,21,4,30,32,28,5,93.29,1022,6,NW,10,0,0
185,2013,2,5,22,4,33,34,29,5,93.29,1023,6,NW,15,0,0
186,2013,2,5,23,4,NA,41,NA,4,86.99,1023,6,NW,20,0,0
187,2013,2,6,0,4,39,48,39,4,93.24,1023,5,NW,25,0,0
188,2013,2,6,1,4,42,48,40,4,93.24,1023,5,NW,29,0,0
189,2013,2,6,2,4,46,51,47,4,93.24,1023,5,NW,33,0,0
190,2013,2,6,3,4,48,54,49,3,86.89,1023,5,NW,37,0,0
191,2013,2,6,4,4,44,46,46,3,86.89,1023,5,NW,41,0,0
192,2013,2,6,5,4,42,43,56,3,86.89,1024,5,NW,46,0,0
193,2013,2,6,6,4,40,41,55,3,86.89,1024,5,NW,51,0,0
194,2013,2,6,7,4,34,44,40,2,80.92,1025,5,NE,4,0,0
195,2013,2,6,8,4,34,45,44,2,86.79,1025,4,NE,8,0,0
196,2013,2,6,9,4,39,45,41,2,80.92,1025,5,NE,13,0,0
197,2013,2,6,10,4,44,53,39,2,86.79,1025,4,NE,17,0,0
198,2013,2,6,11,4,52,48,45,2,86.79,1025,4,NE,21,0,0
199,2013,2,6,12,4,55,55,44,2,80.92,1023,5,NE,25,0,0
200,2013,2,6,13,4,47,62,50,2,80.92,1022,5,NE,30,0,0
201,2013,2,6,14,4,58,67,44,1,75.32,1022,5,NE,34,0,0
202,2013,2,6,15,4,61,73,46,1,75.32,1023,5,NE,36,0,0
203,2013,2,6,16,4,70,68,55,1,75.32,1022,5,NE,39,0,0
204,2013,2,6,17,4,76,77,60,1,75.32,1022,5,NE,41,0,0
205,2013,2,6,18,4,71,84,66,1,75.32,1022,5,cv,1,0,0
206,2013,2,6,19,4,84,85,74,1,75.32,1023,5,NE,2,0,0
207,2013,2,6,20,4,95,97,82,1,75.32,1023,5,NE,5,0,0
208,2013,2,6,21,4,88,98,78,1,75.32,1023,5,NE,8,0,0
209,2013,2,6,22,4,90,99,77,0,70.06,1023,5,NE,11,0,0
210,2013,2,6,23,4,92,103,87,0,70.06,1023,5,NE,14,0,0
211,2013,2,7,0,4,102,114,95,1,75.32,1023,5,NE,19,0,0
212,2013,2,7,1,4,107,123,105,1,80.78,1023,4,NE,23,0,0
213,2013,2,7,2,4,NA,119,100,1,80.78,1024,4,NE,27,0,0
214,2013,2,7,3,4,NA,104,84,0,75.14,1023,4,NE,32,0,0
215,2013,2,7,4,4,NA,89,76,0,75.14,1024,4,NE,38,0,0
216,2013,2,7,5,4,NA,85,74,0,75.14,1024,4,NE,44,0,0
217,2013,2,7,6,4,NA,71,63,0,75.14,1024,4,NE,49,0,0
218,2013,2,7,7,4,NA,85,69,1,80.78,1025,4,NE,54,0.1,0.1
219,2013,2,7,8,4,NA,92,69,1,80.78,1026,4,NE,61,0.2,0.3
220,2013,2,7,9,4,NA,114,93,1,80.78,1027,4,NE,66,0.2,0.5
221,2013,2,7,10,4,NA,128,95,1,80.78,1028,4,NE,74,0.3,0.8
222,2013,2,7,11,4,NA,65,61,1,80.78,1028,4,NE,81,0.6,1.4
223,2013,2,7,12,4,NA,67,53,1,86.68,1028,3,NE,89,0.4,1.8
224,2013,2,7,13,4,NA,52,40,0,86.58,1028,2,NE,98,0,0
225,2013,2,7,14,4,NA,35,25,-1,80.49,1028,2,NE,108,0.1,0.1
226,2013,2,7,15,4,NA,27,19,-1,86.47,1029,1,NE,115,0.1,0.2
227,2013,2,7,16,4,NA,26,14,-3,74.59,1030,1,NE,125,0.1,0.3
228,2013,2,7,17,4,NA,27,18,-3,74.59,1030,1,NE,135,0,0
229,2013,2,7,18,4,NA,22,11,-2,92.91,1032,-1,NE,143,NA,NA
230,2013,2,7,19,4,NA,25,12,-2,92.91,1032,-1,NE,149,NA,NA
231,2013,2,7,20,4,NA,16,16,-2,92.91,1032,-1,NE,155,NA,NA
232,2013,2,7,21,4,NA,25,15,-3,86.26,1033,-1,NE,162,NA,NA
233,2013,2,7,22,4,NA,25,20,-3,86.26,1033,-1,NE,168,NA,NA
234,2013,2,7,23,4,NA,21,12,-4,80.04,1033,-1,NE,174,NA,NA
235,2013,2,8,0,4,NA,18,NA,-5,74.22,1034,-1,NE,182,NA,NA
236,2013,2,8,1,4,NA,18,11,-6,68.78,1034,-1,NE,191,NA,NA
237,2013,2,8,2,4,NA,16,12,-6,74.03,1034,-2,NE,199,NA,NA
238,2013,2,8,3,4,NA,18,11,-6,74.03,1034,-2,NE,207,NA,NA
239,2013,2,8,4,4,NA,23,13,-5,79.89,1034,-2,NE,213,NA,NA
240,2013,2,8,5,4,NA,22,12,-6,74.03,1034,-2,NE,222,NA,NA
241,2013,2,8,6,4,NA,20,13,-5,79.89,1034,-2,NE,229,0,0
242,2013,2,8,7,4,NA,20,15,-5,79.89,1035,-2,NE,235,0,0
243,2013,2,8,8,4,NA,22,18,-4,86.15,1035,-2,NE,241,0,0
244,2013,2,8,9,4,NA,26,17,-3,92.85,1035,-2,NE,245,0,0
245,2013,2,8,10,4,NA,25,18,-4,80.04,1035,-1,NE,251,0,0
246,2013,2,8,11,4,NA,32,22,-4,80.04,1034,-1,NE,256,0,0
247,2013,2,8,12,4,NA,27,29,-4,74.41,1033,0,NE,261,0,0
248,2013,2,8,13,4,NA,28,26,-4,74.41,1034,0,NE,267,0,0
249,2013,2,8,14,4,NA,30,25,-3,86.26,1033,-1,NE,273,0,0
250,2013,2,8,15,4,NA,34,27,-3,86.26,1033,-1,NW,5,0,0
251,2013,2,8,16,4,NA,35,24,-3,86.26,1033,-1,NE,6,NA,NA
252,2013,2,8,17,4,NA,29,27,-2,100,1033,-2,NW,4,NA,NA
253,2013,2,8,18,4,NA,34,28,-2,100,1033,-2,NE,4,NA,NA
254,2013,2,8,19,4,NA,35,34,-2,100,1033,-2,NE,8,NA,NA
255,2013,2,8,20,4,NA,42,33,-2,92.91,1033,-1,NW,4,NA,NA
256,2013,2,8,21,4,NA,44,32,-2,92.91,1034,-1,NW,8,NA,NA
257,2013,2,8,22,4,NA,37,27,-3,86.26,1034,-1,NW,12,NA,NA
258,2013,2,8,23,4,NA,34,27,-3,86.26,1033,-1,NE,4,NA,NA
259,2013,2,9,0,4,NA,29,24,-4,80.04,1033,-1,NE,8,NA,NA
260,2013,2,9,1,4,NA,29,22,-4,80.04,1033,-1,NE,12,NA,NA
261,2013,2,9,2,4,NA,24,20,-4,86.15,1032,-2,NW,3,NA,NA
262,2013,2,9,3,4,NA,26,22,-4,86.15,1032,-2,NW,7,NA,NA
263,2013,2,9,4,4,NA,29,23,-4,92.79,1031,-3,NW,10,NA,NA
264,2013,2,9,5,4,NA,28,18,-4,92.79,1031,-3,NW,12,NA,NA
265,2013,2,9,6,4,NA,31,23,-4,86.15,1031,-2,NW,14,0,0
266,2013,2,9,7,4,NA,31,25,-4,86.15,1031,-2,NW,15,0,0
267,2013,2,9,8,4,NA,31,26,-4,86.15,1032,-2,NW,18,0,0
268,2013,2,9,9,4,NA,33,30,-4,74.41,1032,0,NE,3,0,0
269,2013,2,9,10,4,NA,37,33,-4,69.21,1032,1,NE,6,0,0
270,2013,2,9,11,4,NA,31,31,-4,64.42,1032,2,NE,9,0,0
271,2013,2,9,12,4,NA,27,27,-5,55.63,1030,3,cv,2,0,0
272,2013,2,9,13,4,NA,31,32,-5,51.84,1029,4,NW,2,0,0
273,2013,2,9,14,4,NA,33,33,-4,52.13,1028,5,cv,2,0,0
274,2013,2,9,15,4,NA,37,NA,-5,48.34,1027,5,cv,4,0,0
275,2013,2,9,16,4,NA,41,37,-4,52.13,1027,5,SW,3,0,0
276,2013,2,9,17,4,NA,44,52,-4,60,1027,3,NW,4,0,0
277,2013,2,9,18,4,NA,48,53,-4,64.42,1027,2,NW,7,0,0
278,2013,2,9,19,4,NA,65,75,-4,69.21,1027,1,NW,10,0,0
279,2013,2,9,20,4,NA,82,108,-3,74.59,1028,1,NW,13,0,0
280,2013,2,9,21,4,NA,119,131,-3,74.59,1028,1,NW,15,0,0
281,2013,2,9,22,4,NA,132,121,-4,74.41,1028,0,NW,17,0,0
282,2013,2,9,23,4,NA,185,131,-3,80.19,1029,0,NW,19,0,0
283,2013,2,10,0,4,NA,249,159,-3,80.19,1028,0,cv,1,0,0
284,2013,2,10,1,4,NA,574,338,-3,80.19,1028,0,cv,1,0,0
285,2013,2,10,2,4,NA,467,413,-3,86.26,1028,-1,SW,1,0,0
286,2013,2,10,3,4,NA,383,250,-3,86.26,1027,-1,SW,2,0,0
287,2013,2,10,4,4,NA,224,160,-3,86.26,1027,-1,cv,0,0,0
288,2013,2,10,5,4,NA,185,147,-3,86.26,1027,-1,NE,1,0,0
289,2013,2,10,6,4,NA,145,138,-4,86.15,1027,-2,cv,0,0,0
290,2013,2,10,7,4,NA,137,151,-4,86.15,1027,-2,SW,1,0,0
291,2013,2,10,8,4,NA,144,145,-2,80.34,1028,1,cv,1,0,0
292,2013,2,10,9,4,NA,153,142,-2,74.78,1028,2,SW,2,0,0
293,2013,2,10,10,4,NA,160,137,-2,64.9,1028,4,SW,4,0,0
294,2013,2,10,11,4,NA,130,115,-3,56.18,1028,5,cv,2,0,0
295,2013,2,10,12,4,NA,129,118,-3,52.41,1027,6,SW,2,0,0
296,2013,2,10,13,4,NA,125,116,-3,48.93,1026,7,NE,2,0,0
297,2013,2,10,14,4,NA,103,114,-3,45.7,1025,8,SE,3,0,0
298,2013,2,10,15,4,NA,112,97,-2,49.22,1025,8,SE,7,0,0
299,2013,2,10,16,4,NA,84,73,-1,56.72,1025,7,SE,12,0,0
300,2013,2,10,17,4,NA,63,50,-1,60.76,1026,6,SE,16,0,0
301,2013,2,10,18,4,NA,51,49,-1,65.13,1026,5,NE,5,0,0
302,2013,2,10,19,4,NA,64,54,-1,69.85,1027,4,NE,8,0,0
303,2013,2,10,20,4,NA,75,54,-1,69.85,1028,4,NE,11,0,0
304,2013,2,10,21,4,NA,71,58,-1,74.96,1028,3,NE,14,0,0
305,2013,2,10,22,4,NA,74,62,-1,69.85,1028,4,NE,18,0,0
306,2013,2,10,23,4,NA,69,53,0,75.14,1028,4,NE,21,0,0
307,2013,2,11,0,4,NA,62,53,0,75.14,1028,4,NE,25,0,0
308,2013,2,11,1,4,NA,63,47,0,80.63,1028,3,NE,28,0,0
309,2013,2,11,2,4,NA,57,47,-1,80.49,1028,2,NE,30,0,0
310,2013,2,11,3,4,NA,61,48,-1,80.49,1028,2,NE,31,0,0
311,2013,2,11,4,4,NA,52,45,-1,86.47,1028,1,NE,33,0,0
312,2013,2,11,5,4,NA,61,48,-1,92.96,1028,0,NE,36,0,0
313,2013,2,11,6,4,NA,62,50,0,86.58,1029,2,NE,39,0,0
314,2013,2,11,7,4,NA,75,55,0,80.63,1029,3,NE,42,0,0
315,2013,2,11,8,4,NA,73,59,1,80.78,1030,4,NE,44,0,0
316,2013,2,11,9,4,NA,75,55,1,70.27,1030,6,NE,47,0,0
317,2013,2,11,10,4,NA,64,57,-1,52.98,1030,8,NE,51,0,0
318,2013,2,11,11,4,NA,57,51,0,56.99,1030,8,NE,55,0,0
319,2013,2,11,12,4,NA,51,46,0,53.26,1029,9,SE,5,0,0
320,2013,2,11,13,4,NA,63,50,0,56.99,1028,8,NE,5,0,0
321,2013,2,11,14,4,NA,65,55,1,61.26,1028,8,NE,10,0,0
322,2013,2,11,15,4,NA,65,53,0,56.99,1028,8,NE,15,0,0
323,2013,2,11,16,4,NA,48,38,1,61.26,1028,8,NE,21,0,0
324,2013,2,11,17,4,NA,45,40,2,70.47,1027,7,NE,27,0,0
325,2013,2,11,18,4,NA,49,43,1,70.27,1027,6,NE,32,0,0
326,2013,2,11,19,4,NA,58,43,1,70.27,1027,6,NE,37,0,0
327,2013,2,11,20,4,NA,55,42,1,70.27,1028,6,NE,42,0,0
328,2013,2,11,21,4,NA,50,39,1,70.27,1028,6,NE,47,0,0
329,2013,2,11,22,4,NA,42,37,1,70.27,1027,6,NE,52,0.1,0.1
330,2013,2,11,23,4,NA,31,31,2,80.92,1027,5,NE,57,0.2,0.3
331,2013,2,12,0,4,NA,37,25,2,80.92,1028,5,NE,61,0.4,0.7
332,2013,2,12,1,4,NA,37,29,2,80.92,1028,5,NE,64,0.5,1.2
333,2013,2,12,2,4,NA,34,28,3,93.19,1027,4,NE,69,0,0
334,2013,2,12,3,4,NA,35,20,2,86.79,1027,4,NE,74,0.2,0.2
335,2013,2,12,4,4,NA,35,25,2,93.13,1026,3,NE,79,0.3,0.5
336,2013,2,12,5,4,NA,27,24,2,93.13,1026,3,NE,83,0.1,0.6
337,2013,2,12,6,4,NA,26,29,1,86.68,1026,3,NE,87,0,0
338,2013,2,12,7,4,NA,31,26,2,93.13,1027,3,NE,91,0,0
339,2013,2,12,8,4,NA,24,23,2,93.13,1028,3,NE,95,0,0
340,2013,2,12,9,4,NA,28,25,2,86.79,1028,4,NE,98,0,0
341,2013,2,12,10,4,NA,30,26,2,86.79,1029,4,NE,102,0,0
342,2013,2,12,11,4,NA,32,28,2,80.92,1028,5,NE,106,0,0
343,2013,2,12,12,4,NA,35,32,2,80.92,1028,5,NW,4,0,0
