No,year,month,day,hour,season,PM_Caotangsi,PM_Shahepu,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
48,2013,1,2,23,4,59,72,66,-1,60.76,1032,6,NE,38,0,0
49,2013,1,3,0,4,56,77,70,0,75.14,1033,4,NW,5,0,0
50,2013,1,3,1,4,52,77,66,-1,65.13,1033,5,NE,4,0,0
51,2013,1,3,2,4,45,73,60,-2,64.9,1033,4,NE,9,0,0
52,2013,1,3,3,4,48,66,55,-1,69.85,1033,4,NE,13,0,0
53,2013,1,3,4,4,49,68,62,-1,69.85,1033,4,NE,16,0,0
54,2013,1,3,5,4,52,68,61,-1,74.96,1032,3,NE,18,0,0
55,2013,1,3,6,4,47,58,62,-2,64.9,1032,4,NE,20,0,0
56,2013,1,3,7,4,50,66,59,-2,69.64,1033,3,NE,22,0,0
57,2013,1,3,8,4,51,61,61,-2,64.9,1033,4,cv,1,0,0
58,2013,1,3,9,4,59,64,68,-3,60.25,1033,4,NE,2,0,0
59,2013,1,3,10,4,65,63,69,-3,60.25,1034,4,NE,6,0,0
60,2013,1,3,11,4,39,85,67,-3,60.25,1034,4,NE,10,0,0
61,2013,1,3,12,4,57,74,67,-4,55.91,1033,4,NE,14,0,0
62,2013,1,3,13,4,51,74,57,-4,55.91,1031,4,NE,18,0,0
63,2013,1,3,14,4,50,67,68,-5,51.84,1029,4,NE,23,0,0
64,2013,1,3,15,4,53,77,70,-5,51.84,1028,4,NE,28,0,0
65,2013,1,3,16,4,57,80,75,-3,64.66,1027,3,NE,32,0,0
66,2013,1,3,17,4,56,78,75,-2,69.64,1027,3,NE,35,0,0
67,2013,1,3,18,4,48,79,72,-2,69.64,1028,3,NE,38,0,0
68,2013,1,3,19,4,53,79,78,-2,69.64,1028,3,NE,41,0,0
69,2013,1,3,20,4,51,80,69,0,86.58,1029,2,NE,43,0,0
70,2013,1,3,21,4,72,74,94,0,86.58,1029,2,NW,2,0,0
71,2013,1,3,22,4,77,88,100,0,86.58,1029,2,cv,1,0,0
72,2013,1,3,23,4,68,94,99,0,86.58,1030,2,NW,2,0,0
73,2013,1,4,0,4,70,92,89,0,93.02,1029,1,cv,1,0,0
74,2013,1,4,1,4,74,97,96,0,86.58,1028,2,cv,2,0,0
75,2013,1,4,2,4,75,93,94,0,86.58,1028,2,NW,2,0,0
76,2013,1,4,3,4,72,100,100,0,86.58,1027,2,cv,1,0,0
77,2013,1,4,4,4,74,105,96,0,86.58,1027,2,cv,2,0,0
78,2013,1,4,5,4,74,106,95,0,86.58,1026,2,cv,3,0,0
79,2013,1,4,6,4,67,108,101,0,86.58,1026,2,cv,4,0,0
80,2013,1,4,7,4,79,93,100,0,86.58,1026,2,cv,5,0,0
81,2013,1,4,8,4,94,112,103,0,86.58,1026,2,cv,6,0,0
82,2013,1,4,9,4,88,115,118,0,86.58,1026,2,NW,1,0,0
83,2013,1,4,10,4,84,123,128,0,86.58,1026,2,cv,1,0,0
84,2013,1,4,11,4,77,133,140,0,80.63,1026,3,cv,2,0,0
85,2013,1,4,12,4,82,145,149,0,80.63,1025,3,cv,3,0,0
86,2013,1,4,13,4,89,134,146,1,86.68,1023,3,cv,4,0,0
87,2013,1,4,14,4,102,3,140,1,86.68,1022,3,SE,2,0,0
88,2013,1,4,15,4,112,34,158,1,93.08,1021,2,SE,4,0,0
89,2013,1,4,16,4,106,113,131,1,93.08,1020,2,SE,6,0,0
90,2013,1,4,17,4,95,115,117,1,86.68,1020,3,cv,1,0,0
91,2013,1,4,18,4,97,104,100,1,86.68,1021,3,cv,2,0,0
92,2013,1,4,19,4,88,89,73,1,86.68,1022,3,cv,3,0,0
93,2013,1,4,20,4,87,78,66,1,86.68,1023,3,NW,1,0,0
94,2013,1,4,21,4,67,78,64,1,86.68,1023,3,cv,2,0,0
95,2013,1,4,22,4,68,70,65,1,86.68,1023,3,NW,2,0,0
96,2013,1,4,23,4,60,70,62,1,86.68,1024,3,NE,2,0,0
97,2013,1,5,0,4,48,68,58,1,86.68,1024,3,cv,1,0,0
98,2013,1,5,1,4,46,65,62,1,86.68,1023,3,NE,2,0,0
99,2013,1,5,2,4,65,67,60,1,93.08,1023,2,cv,1,0,0
100,2013,1,5,3,4,76,67,80,2,100,1023,2,cv,2,0.1,0.1
101,2013,1,5,4,4,75,79,105,1,93.08,1023,2,cv,3,0.1,0.2
102,2013,1,5,5,4,74,69,92,1,93.08,1022,2,cv,4,0.1,0.3
103,2013,1,5,6,4,NA,NA,58,1,93.08,1022,2,cv,5,0.1,0.4
104,2013,1,5,7,4,NA,NA,72,1,93.08,1022,2,cv,6,0.1,0.5
105,2013,1,5,8,4,79,90,96,1,93.08,1023,2,NW,1,0,0
106,2013,1,5,9,4,NA,NA,103,1,93.08,1024,2,cv,1,0.2,0.2
107,2013,1,5,10,4,77,113,133,1,93.08,1024,2,NW,2,0.1,0.3
108,2013,1,5,11,4,75,132,160,2,93.13,1024,3,cv,1,0,0
109,2013,1,5,12,4,76,130,135,1,86.68,1023,3,NW,2,0,0
110,2013,1,5,13,4,75,128,123,1,86.68,1022,3,NW,4,0,0
111,2013,1,5,14,4,80,123,112,1,86.68,1022,3,NW,5,0,0
112,2013,1,5,15,4,92,98,117,1,86.68,1021,3,NE,2,0,0
113,2013,1,5,16,4,99,96,135,1,86.68,1021,3,NW,1,0,0
114,2013,1,5,17,4,98,113,124,1,80.78,1021,4,cv,1,0,0
115,2013,1,5,18,4,98,113,115,0,75.14,1023,4,NE,2,0,0
116,2013,1,5,19,4,96,114,120,1,80.78,1024,4,SE,2,0,0
117,2013,1,5,20,4,106,115,130,2,86.79,1025,4,cv,1,0,0
118,2013,1,5,21,4,117,108,135,1,93.08,1026,2,SW,1,0,0
119,2013,1,5,22,4,131,115,155,2,93.13,1026,3,cv,0,0,0
120,2013,1,5,23,4,NA,NA,185,2,93.13,1026,3,cv,1,0,0
121,2013,1,6,0,4,NA,NA,191,1,93.08,1026,2,cv,2,0,0
122,2013,1,6,1,4,NA,NA,179,0,93.02,1026,1,SW,1,0,0
123,2013,1,6,2,4,NA,NA,160,0,100,1025,0,cv,1,0,0
124,2013,1,6,3,4,NA,NA,152,0,100,1025,0,cv,2,0,0
125,2013,1,6,4,4,NA,NA,148,-2,92.91,1024,-1,SE,1,0,0
126,2013,1,6,5,4,NA,NA,138,-2,100,1024,-2,cv,0,0,0
127,2013,1,6,6,4,NA,NA,122,-2,100,1024,-2,cv,1,0,0
128,2013,1,6,7,4,NA,NA,129,-1,100,1024,-1,cv,1,0,0
129,2013,1,6,8,4,114,78,130,-2,100,1024,-2,cv,1,0,0
130,2013,1,6,9,4,122,102,148,-1,100,1025,-1,cv,1,0,0
131,2013,1,6,10,4,140,139,180,-1,100,1026,-1,SW,2,0,0
132,2013,1,6,11,4,179,159,158,0,100,1025,0,cv,0,0,0
133,2013,1,6,12,4,155,169,169,2,100,1024,2,cv,1,0,0
134,2013,1,6,13,4,125,134,126,4,93.24,1023,5,cv,2,0,0
135,2013,1,6,14,4,118,134,118,0,65.36,1021,6,cv,3,0,0
136,2013,1,6,15,4,110,132,117,-1,56.72,1020,7,SE,2,0,0
137,2013,1,6,16,4,91,105,75,-1,60.76,1020,6,NE,3,0,0
138,2013,1,6,17,4,73,95,86,0,70.06,1021,5,NE,8,0,0
139,2013,1,6,18,4,71,106,108,-1,65.13,1022,5,NE,10,0,0
140,2013,1,6,19,4,82,111,99,-1,74.96,1023,3,cv,1,0,0
141,2013,1,6,20,4,79,121,103,0,75.14,1023,4,cv,2,0,0
142,2013,1,6,21,4,103,117,118,1,80.78,1024,4,cv,3,0,0
143,2013,1,6,22,4,116,115,139,1,86.68,1025,3,cv,4,0,0
144,2013,1,6,23,4,110,133,143,1,100,1025,1,cv,5,0,0
145,2013,1,7,0,4,NA,133,146,0,100,1025,0,NW,1,0,0
146,2013,1,7,1,4,113,132,174,0,100,1025,0,SW,2,0,0
147,2013,1,7,2,4,146,123,189,0,100,1024,0,SW,4,0,0
148,2013,1,7,3,4,163,123,183,0,93.02,1024,1,SW,6,0,0
149,2013,1,7,4,4,137,121,149,-1,92.96,1023,0,SW,7,0,0
150,2013,1,7,5,4,122,117,156,0,100,1023,0,SE,2,0,0
151,2013,1,7,6,4,116,81,157,-2,100,1023,-2,cv,1,0,0
152,2013,1,7,7,4,117,70,155,-2,100,1023,-2,SE,1,0,0
153,2013,1,7,8,4,129,87,174,-1,100,1023,-1,cv,0,0,0
154,2013,1,7,9,4,122,89,175,-1,100,1024,-1,SE,1,0,0
155,2013,1,7,10,4,NA,NA,191,-1,100,1024,-1,cv,1,0,0
156,2013,1,7,11,4,NA,NA,201,0,100,1024,0,cv,2,0,0
157,2013,1,7,12,4,193,199,194,1,93.08,1023,2,SE,2,0,0
158,2013,1,7,13,4,184,196,178,3,93.19,1021,4,cv,2,0,0
159,2013,1,7,14,4,147,175,164,3,81.06,1019,6,SE,2,0,0
160,2013,1,7,15,4,113,147,133,-1,52.98,1019,8,cv,1,0,0
161,2013,1,7,16,4,109,151,137,-1,52.98,1018,8,SE,2,0,0
162,2013,1,7,17,4,112,147,148,-1,52.98,1019,8,cv,2,0,0
163,2013,1,7,18,4,120,157,143,0,61.01,1019,7,SE,2,0,0
164,2013,1,7,19,4,NA,NA,128,0,61.01,1020,7,SE,4,0,0
165,2013,1,7,20,4,113,168,133,0,70.06,1021,5,SW,2,0,0
166,2013,1,7,21,4,120,164,143,1,86.68,1022,3,cv,0,0,0
167,2013,1,7,22,4,135,162,151,0,80.63,1022,3,cv,1,0,0
168,2013,1,7,23,4,117,175,169,0,86.58,1023,2,cv,2,0,0
169,2013,1,8,0,4,176,185,191,0,93.02,1024,1,cv,2,0,0
170,2013,1,8,1,4,NA,NA,224,0,93.02,1024,1,SW,1,0,0
171,2013,1,8,2,4,260,229,221,1,100,1024,1,cv,0,0,0
172,2013,1,8,3,4,277,215,206,1,100,1023,1,SW,1,0,0
173,2013,1,8,4,4,285,211,219,0,100,1023,0,SW,2,0,0
174,2013,1,8,5,4,280,225,227,-1,100,1023,-1,SW,3,0,0
175,2013,1,8,6,4,278,259,236,-1,100,1023,-1,SW,4,0,0
176,2013,1,8,7,4,276,284,NA,-2,100,1023,-2,cv,0,0,0
177,2013,1,8,8,4,276,255,NA,-1,100,1024,-1,cv,1,0,0
178,2013,1,8,9,4,NA,NA,NA,0,100,1025,0,SW,1,0,0
179,2013,1,8,10,4,304,299,NA,1,100,1026,1,SW,2,0,0
180,2013,1,8,11,4,NA,NA,NA,3,100,1026,3,cv,1,0,0
181,2013,1,8,12,4,187,192,171,2,75.49,1025,6,SW,2,0,0
182,2013,1,8,13,4,177,179,196,0,56.99,1024,8,cv,1,0,0
183,2013,1,8,14,4,142,182,182,0,53.26,1023,9,cv,3,0,0
184,2013,1,8,15,4,154,193,156,-1,49.51,1022,9,SW,2,0,0
185,2013,1,8,16,4,140,184,143,-1,46.29,1022,10,cv,1,0,0
186,2013,1,8,17,4,NA,NA,145,-2,46,1023,9,SE,2,0,0
187,2013,1,8,18,4,135,181,158,-1,56.72,1023,7,cv,0,0,0
188,2013,1,8,19,4,147,196,174,-1,65.13,1024,5,SW,1,0,0
189,2013,1,8,20,4,205,206,162,2,86.79,1026,4,NW,1,0,0
190,2013,1,8,21,4,258,207,180,0,70.06,1027,5,cv,0,0,0
191,2013,1,8,22,4,260,201,180,2,80.92,1027,5,cv,0,0,0
192,2013,1,8,23,4,305,204,186,2,80.92,1028,5,cv,0,0,0
193,2013,1,9,0,4,298,230,193,3,93.19,1028,4,cv,0,0,0
194,2013,1,9,1,4,261,261,209,2,86.79,1028,4,SW,1,0,0
195,2013,1,9,2,4,310,225,220,2,86.79,1028,4,cv,1,0,0
196,2013,1,9,3,4,317,218,227,2,86.79,1028,4,cv,1,0,0
197,2013,1,9,4,4,NA,189,220,1,93.08,1027,2,cv,1,0,0
198,2013,1,9,5,4,289,181,225,1,100,1027,1,cv,2,0,0
199,2013,1,9,6,4,293,173,227,0,93.02,1026,1,NE,1,0,0
200,2013,1,9,7,4,274,176,219,0,100,1026,0,cv,0,0,0
201,2013,1,9,8,4,NA,NA,NA,-1,100,1027,-1,SW,1,0,0
202,2013,1,9,9,4,341,215,247,0,100,1027,0,SW,3,0,0
203,2013,1,9,10,4,396,218,NA,2,100,1028,2,cv,0,0,0
204,2013,1,9,11,4,412,232,280,4,93.24,1027,5,cv,0,0,0
205,2013,1,9,12,4,NA,NA,207,1,65.59,1026,7,SE,2,0,0
206,2013,1,9,13,4,184,208,190,1,57.25,1024,9,SE,4,0,0
207,2013,1,9,14,4,NA,NA,173,-1,49.51,1023,9,NE,2,0,0
208,2013,1,9,15,4,144,194,143,-1,46.29,1022,10,cv,2,0,0
209,2013,1,9,16,4,130,154,145,-1,46.29,1022,10,NE,2,0,0
210,2013,1,9,17,4,NA,NA,124,-1,49.51,1022,9,SE,4,0,0
211,2013,1,9,18,4,NA,NA,128,-3,45.7,1023,8,NE,3,0,0
212,2013,1,9,19,4,100,132,137,-1,52.98,1023,8,NE,5,0,0
213,2013,1,9,20,4,103,152,140,-1,56.72,1024,7,NE,7,0,0
214,2013,1,9,21,4,109,175,143,-1,56.72,1025,7,NE,9,0,0
215,2013,1,9,22,4,114,185,145,-1,56.72,1025,7,NE,11,0,0
216,2013,1,9,23,4,117,174,139,0,61.01,1026,7,NE,14,0,0
217,2013,1,10,0,4,136,169,140,1,75.32,1026,5,NW,1,0,0
218,2013,1,10,1,4,153,158,159,1,75.32,1026,5,cv,1,0,0
219,2013,1,10,2,4,164,175,174,3,86.89,1025,5,cv,2,0,0
220,2013,1,10,3,4,151,189,169,3,86.89,1025,5,NW,1,0,0
221,2013,1,10,4,4,156,198,162,3,86.89,1024,5,NW,2,0,0
222,2013,1,10,5,4,155,204,178,3,93.19,1023,4,NE,1,0,0
223,2013,1,10,6,4,150,210,207,2,80.92,1023,5,cv,1,0,0
224,2013,1,10,7,4,NA,NA,191,2,80.92,1023,5,cv,2,0,0
225,2013,1,10,8,4,138,210,176,2,80.92,1024,5,cv,3,0,0
226,2013,1,10,9,4,136,210,172,3,86.89,1024,5,cv,3,0,0
227,2013,1,10,10,4,137,220,170,3,86.89,1025,5,SW,1,0,0
228,2013,1,10,11,4,168,227,179,4,93.24,1026,5,cv,0,0.1,0.1
229,2013,1,10,12,4,187,218,228,4,93.24,1025,5,cv,1,0,0
230,2013,1,10,13,4,233,202,254,4,86.99,1024,6,NW,2,0,0
231,2013,1,10,14,4,NA,NA,232,4,86.99,1023,6,NW,4,0,0
232,2013,1,10,15,4,184,242,229,3,75.67,1022,7,NW,6,0,0
233,2013,1,10,16,4,165,237,225,3,81.06,1022,6,NW,8,0,0
234,2013,1,10,17,4,160,246,222,3,81.06,1022,6,NW,10,0,0
235,2013,1,10,18,4,156,220,209,4,93.24,1023,5,NW,13,0,0
236,2013,1,10,19,4,150,208,194,3,86.89,1024,5,NW,15,0,0
237,2013,1,10,20,4,NA,NA,191,3,86.89,1024,5,NW,18,0,0
238,2013,1,10,21,4,159,209,189,3,93.19,1025,4,cv,1,0,0
239,2013,1,10,22,4,160,210,183,3,93.19,1026,4,cv,2,0,0
240,2013,1,10,23,4,163,208,184,3,93.19,1026,4,cv,3,0,0
241,2013,1,11,0,4,153,217,208,3,93.19,1026,4,cv,4,0,0
242,2013,1,11,1,4,145,232,219,2,93.13,1026,3,SW,1,0,0
243,2013,1,11,2,4,NA,NA,226,2,100,1025,2,SW,2,0,0
244,2013,1,11,3,4,NA,NA,223,2,100,1025,2,cv,0,0,0
245,2013,1,11,4,4,NA,NA,231,1,93.08,1026,2,NW,1,0,0
246,2013,1,11,5,4,NA,NA,235,1,100,1025,1,NW,2,0,0
247,2013,1,11,6,4,NA,NA,240,1,100,1026,1,cv,1,0,0
248,2013,1,11,7,4,NA,NA,262,2,100,1026,2,NW,1,0,0
249,2013,1,11,8,4,184,129,248,2,100,1027,2,cv,1,0,0
250,2013,1,11,9,4,195,134,255,3,100,1028,3,cv,1,0,0
251,2013,1,11,10,4,NA,NA,NA,3,100,1029,3,SW,2,0,0
252,2013,1,11,11,4,241,223,NA,4,100,1029,4,cv,1,0,0
253,2013,1,11,12,4,272,314,355,4,86.99,1028,6,cv,2,0,0
254,2013,1,11,13,4,268,347,327,2,65.82,1027,8,cv,3,0,0
255,2013,1,11,14,4,223,351,293,1,57.25,1025,9,cv,4,0,0
256,2013,1,11,15,4,195,317,255,1,57.25,1024,9,SW,2,0,0
257,2013,1,11,16,4,NA,NA,237,1,57.25,1024,9,SW,4,0,0
258,2013,1,11,17,4,188,280,232,1,57.25,1025,9,SW,7,0,0
259,2013,1,11,18,4,184,269,227,1,65.59,1025,7,SW,9,0,0
260,2013,1,11,19,4,185,259,228,1,65.59,1026,7,SW,11,0,0
261,2013,1,11,20,4,198,241,251,1,70.27,1027,6,SW,12,0,0
262,2013,1,11,21,4,208,244,263,1,70.27,1027,6,SW,13,0,0
263,2013,1,11,22,4,210,252,256,3,86.89,1027,5,SW,14,0,0
264,2013,1,11,23,4,209,262,262,2,86.79,1027,4,SW,15,0,0
265,2013,1,12,0,4,210,263,247,2,93.13,1027,3,SW,16,0,0
266,2013,1,12,1,4,209,245,246,2,86.79,1027,4,SW,17,0,0
267,2013,1,12,2,4,218,241,271,2,86.79,1027,4,SE,2,0,0
268,2013,1,12,3,4,220,243,281,3,93.19,1026,4,SE,4,0,0
269,2013,1,12,4,4,221,229,278,1,93.08,1025,2,cv,0,0,0
270,2013,1,12,5,4,222,219,281,1,100,1025,1,NW,1,0,0
271,2013,1,12,6,4,217,213,280,0,100,1024,0,NW,2,0,0
272,2013,1,12,7,4,NA,NA,281,0,100,1024,0,cv,0,0,0
273,2013,1,12,8,4,NA,NA,285,0,100,1024,0,cv,0,0,0
274,2013,1,12,9,4,252,224,299,1,100,1024,1,cv,1,0,0
275,2013,1,12,10,4,280,244,309,4,100,1025,4,cv,1,0,0
276,2013,1,12,11,4,326,289,297,4,93.24,1025,5,cv,2,0,0
277,2013,1,12,12,4,346,345,338,2,65.82,1023,8,NE,1,0,0
278,2013,1,12,13,4,390,363,409,2,61.51,1021,9,cv,1,0,0
279,2013,1,12,14,4,350,451,387,1,53.53,1019,10,cv,3,0,0
280,2013,1,12,15,4,327,438,371,1,53.53,1018,10,NE,2,0,0
281,2013,1,12,16,4,281,349,298,1,53.53,1018,10,NE,5,0,0
282,2013,1,12,17,4,244,299,265,1,53.53,1018,10,NE,8,0,0
283,2013,1,12,18,4,NA,NA,263,1,57.25,1019,9,NE,11,0,0
284,2013,1,12,19,4,219,293,276,1,70.27,1020,6,NW,2,0,0
285,2013,1,12,20,4,253,307,296,2,75.49,1020,6,NW,4,0,0
286,2013,1,12,21,4,278,310,302,3,81.06,1021,6,cv,1,0,0
287,2013,1,12,22,4,298,300,323,3,86.89,1021,5,NW,1,0,0
288,2013,1,12,23,4,279,290,324,2,86.79,1021,4,NW,2,0,0
289,2013,1,13,0,4,NA,NA,314,2,93.13,1021,3,NW,3,0,0
290,2013,1,13,1,4,277,291,320,2,100,1020,2,cv,0,0,0
291,2013,1,13,2,4,283,291,323,2,100,1020,2,NW,1,0,0
292,2013,1,13,3,4,289,291,351,3,100,1020,3,NW,3,0,0
293,2013,1,13,4,4,279,316,340,3,93.19,1020,4,cv,1,0,0
294,2013,1,13,5,4,286,335,354,3,100,1019,3,cv,1,0,0
295,2013,1,13,6,4,290,366,330,3,93.19,1018,4,cv,1,0,0
296,2013,1,13,7,4,298,405,333,3,93.19,1018,4,cv,1,0,0
297,2013,1,13,8,4,301,420,341,3,93.19,1019,4,SW,1,0,0
298,2013,1,13,9,4,316,426,324,4,100,1019,4,SW,2,0,0
299,2013,1,13,10,4,338,410,283,4,93.24,1020,5,SW,3,0,0
300,2013,1,13,11,4,346,358,301,4,86.99,1020,6,cv,0,0,0
301,2013,1,13,12,4,361,368,291,4,81.2,1019,7,cv,1,0,0
302,2013,1,13,13,4,NA,NA,290,4,81.2,1018,7,NE,2,0,0
303,2013,1,13,14,4,334,361,290,2,65.82,1017,8,NE,4,0,0
304,2013,1,13,15,4,317,341,277,2,65.82,1017,8,cv,1,0,0
305,2013,1,13,16,4,298,332,305,2,65.82,1018,8,NW,3,0,0
306,2013,1,13,17,4,289,280,290,2,70.47,1019,7,NW,6,0,0
307,2013,1,13,18,4,251,317,286,2,70.47,1019,7,NW,9,0,0
308,2013,1,13,19,4,209,339,291,2,70.47,1020,7,NW,11,0,0
309,2013,1,13,20,4,NA,NA,268,2,75.49,1021,6,cv,1,0,0
310,2013,1,13,21,4,225,282,230,2,75.49,1023,6,NW,2,0,0
311,2013,1,13,22,4,209,258,206,2,75.49,1023,6,cv,1,0,0
312,2013,1,13,23,4,201,250,203,1,70.27,1023,6,NW,1,0,0
313,2013,1,14,0,4,206,228,205,1,75.32,1023,5,cv,0,0,0
314,2013,1,14,1,4,211,222,197,2,86.79,1023,4,cv,0,0,0
315,2013,1,14,2,4,214,209,217,3,93.19,1023,4,cv,1,0,0
316,2013,1,14,3,4,216,216,256,2,86.79,1022,4,cv,2,0,0
317,2013,1,14,4,4,205,228,244,3,93.19,1022,4,cv,3,0,0
318,2013,1,14,5,4,191,250,235,3,93.19,1021,4,NW,2,0,0
319,2013,1,14,6,4,185,260,243,3,93.19,1021,4,cv,1,0,0
320,2013,1,14,7,4,NA,NA,247,3,93.19,1021,4,cv,2,0,0
321,2013,1,14,8,4,223,254,271,3,86.89,1022,5,SW,1,0,0
322,2013,1,14,9,4,238,265,276,3,86.89,1022,5,cv,1,0,0
323,2013,1,14,10,4,239,271,262,3,86.89,1022,5,cv,2,0,0
324,2013,1,14,11,4,270,273,251,3,81.06,1022,6,cv,3,0,0
325,2013,1,14,12,4,259,275,257,3,75.67,1021,7,cv,3,0,0
326,2013,1,14,13,4,233,291,288,3,75.67,1019,7,SW,1,0,0
327,2013,1,14,14,4,258,324,315,3,70.67,1018,8,cv,1,0,0
328,2013,1,14,15,4,244,314,289,2,65.82,1017,8,cv,1,0,0
329,2013,1,14,16,4,256,332,284,2,65.82,1017,8,cv,1,0,0
330,2013,1,14,17,4,307,373,344,2,65.82,1018,8,NE,2,0,0
331,2013,1,14,18,4,274,394,341,2,65.82,1019,8,NE,4,0,0
332,2013,1,14,19,4,256,380,292,3,75.67,1020,7,NE,6,0,0
333,2013,1,14,20,4,272,369,289,3,70.67,1021,8,NE,9,0,0
334,2013,1,14,21,4,315,385,368,3,75.67,1022,7,NW,1,0,0
335,2013,1,14,22,4,294,395,337,3,75.67,1023,7,cv,1,0,0
336,2013,1,14,23,4,NA,NA,368,4,81.2,1023,7,NW,1,0,0
337,2013,1,15,0,4,NA,NA,319,4,86.99,1024,6,cv,1,0,0
338,2013,1,15,1,4,NA,NA,316,4,86.99,1024,6,cv,2,0,0
339,2013,1,15,2,4,268,299,317,3,86.89,1025,5,SW,1,0,0
340,2013,1,15,3,4,260,292,303,4,86.99,1025,6,SW,2,0,0
341,2013,1,15,4,4,259,277,297,3,93.19,1025,4,cv,0,0,0
342,2013,1,15,5,4,262,267,302,3,93.19,1024,4,cv,0,0,0
343,2013,1,15,6,4,258,306,306,3,93.19,1024,4,cv,0,0,0
344,2013,1,15,7,4,259,329,321,3,100,1024,3,SW,1,0,0
345,2013,1,15,8,4,NA,NA,346,3,100,1024,3,cv,1,0,0
346,2013,1,15,9,4,310,280,374,3,100,1025,3,cv,1,0,0
347,2013,1,15,10,4,342,332,389,5,93.29,1025,6,cv,2,0,0
348,2013,1,15,11,4,337,401,350,5,81.34,1025,8,cv,2,0,0
349,2013,1,15,12,4,318,399,302,3,61.76,1024,10,cv,3,0,0
350,2013,1,15,13,4,236,265,187,0,43.6,1022,12,NE,2,0,0
351,2013,1,15,14,4,162,3,179,0,40.84,1021,13,cv,2,0,0
