No,year,month,day,hour,season,PM_City Station,PM_5th Middle School,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
32,2013,1,2,7,4,66,59,66,3.8,60,1011.8,11.3,NW,12.9,0,0
33,2013,1,2,8,4,69,60,69,4,59,1012.7,11.7,NW,15.8,0,0
34,2013,1,2,9,4,69,70,69,4.7,60,1013.5,12.2,NW,18.3,0,0
35,2013,1,2,10,4,76,NA,76,5.6,56,1013.9,14.2,NW,20,0,0
36,2013,1,2,11,4,86,66,86,4.7,52,1013.8,14.4,NE,2.5,0,0
37,2013,1,2,12,4,77,83,77,5.7,50,1012.5,16.1,NE,4.9,0,0
38,2013,1,2,13,4,82,74,82,4.9,42,1011.2,18,NW,2,0,0
39,2013,1,2,14,4,69,80,69,4.5,42,1010.4,17.5,NE,3.2,0,0
40,2013,1,2,15,4,62,73,62,4.8,43,1010.2,17.5,NW,3.9,0,0
41,2013,1,2,16,4,59,63,59,5.9,46,1010.1,17.7,NW,7.4,0,0
42,2013,1,2,17,4,56,63,56,6.8,51,1010.8,17,NW,10.5,0,0
43,2013,1,2,18,4,72,55,72,7.4,59,1011.3,15.4,NW,13.6,0,0
44,2013,1,2,19,4,78,72,78,7.7,64,1011.6,14.4,NW,16.3,0,0
45,2013,1,2,20,4,89,73,89,7.5,63,1012.2,14.5,NW,19.7,0,0
46,2013,1,2,21,4,92,NA,92,8,70,1013,13.4,NE,2.8,0,0
47,2013,1,2,22,4,92,86,92,7.8,70,1013.7,13.1,NE,7,0,0
48,2013,1,2,23,4,61,77,61,7.4,67,1014.1,13.4,NE,11,0,0
49,2013,1,3,0,4,66,70,66,7,62,1014.5,14.2,NE,13.4,0,0
50,2013,1,3,1,4,62,71,62,7.4,65,1014.6,13.9,NE,17.7,0,0
51,2013,1,3,2,4,53,70,53,7.3,64,1014.9,14,NE,23,0,0
52,2013,1,3,3,4,49,60,49,7.4,65,1015,13.9,NE,26.3,0,0
53,2013,1,3,4,4,49,54,49,8.5,74,1014.5,13,NE,30.4,0,0
54,2013,1,3,5,4,85,55,85,7.3,67,1015.2,13.3,NE,34.8,0,0
55,2013,1,3,6,4,133,51,133,7,67,1015.3,13,NW,4.7,0,0
56,2013,1,3,7,4,48,55,48,5.7,61,1015.9,13,NE,7.2,0,0
57,2013,1,3,8,4,43,58,43,4.8,59,1016.8,12.6,NE,12,0,0
58,2013,1,3,9,4,58,53,58,5.4,61,1017.9,12.7,NE,17.1,0,0
59,2013,1,3,10,4,61,57,61,5.5,59,1018.4,13.3,NE,22.3,0,0
60,2013,1,3,11,4,67,63,67,5.6,57,1018.3,14,NE,28.6,0,0
61,2013,1,3,12,4,64,64,64,5.9,55,1017.3,14.8,NE,36.3,0,0
62,2013,1,3,13,4,58,63,58,6,59,1016.5,13.9,NE,43.5,0,0
63,2013,1,3,14,4,49,54,49,6.1,61,1015.9,13.5,NE,50.2,0,0
64,2013,1,3,15,4,46,52,46,5.8,62,1015.5,12.9,NE,56.4,0,0
65,2013,1,3,16,4,48,54,48,5.3,62,1015.7,12.4,NE,62.3,0,0
66,2013,1,3,17,4,45,60,45,5.4,66,1016.4,11.5,NW,4.4,0,0
67,2013,1,3,18,4,46,62,46,4.6,68,1017,10.2,NE,6.6,0,0
68,2013,1,3,19,4,55,59,55,3.8,67,1017.4,9.6,NE,12.8,0,0
69,2013,1,3,20,4,49,59,49,3.1,67,1017.9,8.9,NE,21.2,0,0
70,2013,1,3,21,4,56,55,56,3,68,1018.4,8.6,NW,8.2,0,0
71,2013,1,3,22,4,48,51,48,2.7,68,1018.2,8.3,NW,15.3,0,0
72,2013,1,3,23,4,43,48,43,2.5,68,1018.1,8,NW,22.7,0,0
73,2013,1,4,0,4,37,43,37,2.3,69,1018,7.6,NE,5.6,0,0
74,2013,1,4,1,4,36,37,36,2.2,70,1017.7,7.3,NW,4.6,0,0
75,2013,1,4,2,4,39,29,39,1.7,69,1017.7,7,NW,8.7,0,0
76,2013,1,4,3,4,29,36,29,1.6,70,1017,6.7,NE,7,0,0
77,2013,1,4,4,4,30,34,30,2,73,1016.2,6.5,NE,10.5,0,0
78,2013,1,4,5,4,31,31,31,2.1,74,1015.9,6.4,NE,13.8,0,0
79,2013,1,4,6,4,33,33,33,3,78,1015.9,6.6,NE,15.5,0,0
80,2013,1,4,7,4,33,30,33,2.4,75,1016.8,6.5,NE,20.1,0,0
81,2013,1,4,8,4,30,29,30,1.8,73,1017.2,6.3,NE,25,0,0
82,2013,1,4,9,4,26,27,26,1.8,72,1017.7,6.5,NE,28.4,0,0
83,2013,1,4,10,4,26,30,26,2.7,70,1017.2,7.8,NW,2.9,0,0
84,2013,1,4,11,4,33,33,33,2.7,68,1016.7,8.2,NW,8,0,0
85,2013,1,4,12,4,37,36,37,2.5,70,1015.6,7.6,NW,11.9,0,0
86,2013,1,4,13,4,39,31,39,3,70,1014.1,8.1,NE,4.4,0,0
87,2013,1,4,14,4,32,38,32,2.8,69,1013.2,8.1,NW,6.8,0,0
88,2013,1,4,15,4,36,29,36,3.6,67,1012.3,9.4,NE,2.4,0,0
89,2013,1,4,16,4,47,37,47,2.9,67,1012.1,8.7,NW,4.1,0,0
90,2013,1,4,17,4,38,40,38,2.8,70,1012.8,7.9,NW,8.1,0,0
91,2013,1,4,18,4,34,43,34,2.6,75,1013,6.7,NE,4.3,0,0
92,2013,1,4,19,4,42,36,42,2.5,77,1013.2,6.2,NE,9.6,0,0
93,2013,1,4,20,4,42,42,42,2.4,77,1013.3,6.1,NE,14.4,0,0
94,2013,1,4,21,4,37,39,37,2.7,80,1013.3,5.9,NE,20,0,0
95,2013,1,4,22,4,30,36,30,3,84,1013.3,5.5,NE,26,0,0
96,2013,1,4,23,4,29,36,29,2.9,84,1013.8,5.4,NW,6.1,0,0
97,2013,1,5,0,4,24,29,24,3.3,90,1013.7,4.8,NE,4.2,0,0
98,2013,1,5,1,4,27,26,27,2.7,87,1013.4,4.7,NW,6.7,0,0
99,2013,1,5,2,4,23,27,23,2.8,88,1013.6,4.6,NE,4.8,0,0
100,2013,1,5,3,4,19,23,19,3.3,92,1013.1,4.5,NE,7.7,0,0
101,2013,1,5,4,4,19,20,19,3.9,95,1012.8,4.6,NW,3.5,0,0
102,2013,1,5,5,4,17,18,17,3.7,94,1012.8,4.6,NE,3.3,0,0
103,2013,1,5,6,4,19,NA,19,3.7,93,1013.2,4.7,NW,3.7,0,0
104,2013,1,5,7,4,19,NA,19,3.7,92,1013.3,4.9,NE,4.5,0,0
105,2013,1,5,8,4,20,18,20,3.3,88,1014,5.1,NW,4.9,0,0
106,2013,1,5,9,4,18,NA,18,3.2,83,1014.2,5.9,NW,8.7,0,0
107,2013,1,5,10,4,29,24,29,3.8,79,1014.3,7.2,NW,12,0,0
108,2013,1,5,11,4,33,20,33,3.8,73,1013.6,8.3,NE,5,0,0
109,2013,1,5,12,4,34,31,34,3.3,70,1013,8.5,NE,8.3,0,0
110,2013,1,5,13,4,37,33,37,3.8,70,1011.7,9,NE,12.1,0,0
111,2013,1,5,14,4,35,33,35,3.7,67,1010.7,9.5,NE,16.4,0,0
112,2013,1,5,15,4,37,36,37,4,69,1010.2,9.4,NE,21.5,0,0
113,2013,1,5,16,4,39,35,39,4.2,70,1010.3,9.4,NE,26.4,0,0
114,2013,1,5,17,4,40,41,40,4.1,69,1010.5,9.5,NW,4.6,0,0
115,2013,1,5,18,4,40,41,40,4.2,72,1010.7,9,NE,2.7,0,0
116,2013,1,5,19,4,NA,48,NA,4.3,74,1011.3,8.7,NW,5,0,0
117,2013,1,5,20,4,36,51,36,4.2,75,1011.6,8.4,NE,4.1,0,0
118,2013,1,5,21,4,34,44,34,4.1,75,1012.1,8.3,NW,4.1,0,0
119,2013,1,5,22,4,37,40,37,4.1,75,1012.5,8.3,NW,9.1,0,0
120,2013,1,5,23,4,40,NA,40,4.1,76,1012.8,8.1,NE,5.6,0,0
121,2013,1,6,0,4,37,NA,37,3.9,76,1013,7.9,NW,5.4,0,0
122,2013,1,6,1,4,37,40,37,3.7,76,1012.8,7.7,NE,6,0,0
123,2013,1,6,2,4,35,38,35,3.7,77,1012.8,7.5,NW,5,0,0
124,2013,1,6,3,4,34,36,34,3.4,76,1012.7,7.3,NW,10.9,0,0
125,2013,1,6,4,4,28,32,28,3.5,76,1012.6,7.4,NE,6.2,0,0
126,2013,1,6,5,4,33,30,33,3.5,77,1012.9,7.3,NE,11.6,0,0
127,2013,1,6,6,4,28,NA,28,3.4,77,1013.6,7.2,NE,16.6,0,0
128,2013,1,6,7,4,30,NA,30,3.4,78,1013.8,7,NE,21.2,0,0
129,2013,1,6,8,4,33,26,33,3.7,79,1014.9,7.1,NW,5.5,0,0
130,2013,1,6,9,4,30,32,30,3.7,77,1015.6,7.5,NE,5.1,0,0
131,2013,1,6,10,4,36,33,36,3.9,75,1015.9,8.1,NE,10,0,0
132,2013,1,6,11,4,36,35,36,4.2,71,1015.3,9.2,NE,15.4,0,0
133,2013,1,6,12,4,34,41,34,4.3,65,1014.1,10.6,NE,19.3,0,0
134,2013,1,6,13,4,42,45,42,4.7,64,1012.8,11.3,NE,25.2,0,0
135,2013,1,6,14,4,47,42,47,5.4,64,1011.7,12,NE,27.8,0,0
136,2013,1,6,15,4,54,43,54,5,60,1011.1,12.6,NE,32.5,0,0
137,2013,1,6,16,4,42,44,42,4.9,67,1011.2,10.8,NE,37.1,0,0
138,2013,1,6,17,4,43,45,43,4.6,70,1011.4,9.8,NE,40.8,0,0
139,2013,1,6,18,4,39,48,39,4.8,73,1011.6,9.4,NW,3.7,0,0
140,2013,1,6,19,4,46,46,46,4.4,72,1011.7,9.2,NW,7.6,0,0
141,2013,1,6,20,4,44,46,44,4.3,73,1012.3,8.9,NW,12,0,0
142,2013,1,6,21,4,50,46,50,4.6,74,1012.8,9,NE,3.3,0,0
143,2013,1,6,22,4,51,51,51,4.4,74,1012.8,8.8,NE,7.8,0,0
144,2013,1,6,23,4,54,51,54,4.2,74,1013.4,8.6,NW,6.3,0,0
145,2013,1,7,0,4,54,53,54,4.5,77,1013.1,8.3,NE,5.9,0,0
146,2013,1,7,1,4,52,58,52,5,81,1012.8,8.1,NE,12.4,0,0
147,2013,1,7,2,4,49,57,49,4.9,82,1012.7,7.8,NW,3.5,0,0
148,2013,1,7,3,4,45,50,45,4.5,81,1012.7,7.5,NE,5.1,0,0
149,2013,1,7,4,4,43,52,43,4.4,81,1012.6,7.4,NW,4.3,0,0
150,2013,1,7,5,4,47,44,47,4.2,80,1012.8,7.4,NW,8.4,0,0
151,2013,1,7,6,4,42,44,42,4.3,80,1012.9,7.5,NE,2,0,0
152,2013,1,7,7,4,41,38,41,4.6,81,1013.4,7.6,NE,5,0,0
153,2013,1,7,8,4,49,43,49,4.7,80,1014,7.9,NW,2.6,0,0
154,2013,1,7,9,4,43,48,43,4.6,75,1014.6,8.8,NE,5,0,0
155,2013,1,7,10,4,59,NA,59,4.9,69,1014.5,10.3,NW,5,0,0
156,2013,1,7,11,4,62,NA,62,5.4,65,1013.6,11.8,NW,8.9,0,0
157,2013,1,7,12,4,63,54,63,6,62,1012.5,13.1,NW,12.1,0,0
158,2013,1,7,13,4,86,59,86,6.2,55,1010.9,15.2,NW,14.8,0,0
159,2013,1,7,14,4,66,69,66,6.2,52,1009.6,16,NW,17.1,0,0
160,2013,1,7,15,4,72,80,72,6.1,49,1008.6,16.9,NW,18.9,0,0
161,2013,1,7,16,4,67,86,67,6.3,49,1008.5,17.1,NW,20.8,0,0
162,2013,1,7,17,4,61,75,61,6.4,53,1008.7,16,NW,23.6,0,0
163,2013,1,7,18,4,71,71,71,7,61,1009.2,14.4,NW,25.9,0,0
164,2013,1,7,19,4,86,NA,86,8.5,81,1009.5,11.6,NE,1.4,0,0
165,2013,1,7,20,4,87,86,87,8.1,87,1010.2,10.2,NE,2.9,0,0
166,2013,1,7,21,4,92,86,92,7.7,80,1010.5,11,NW,1.4,0,0
167,2013,1,7,22,4,100,105,100,7.9,90,1010.8,9.5,NW,3.1,0,0
168,2013,1,7,23,4,110,108,110,7.4,90,1011,9,NW,4.3,0,0
169,2013,1,8,0,4,98,112,98,7.4,79,1010.5,10.9,NW,6.7,0,0
170,2013,1,8,1,4,81,NA,81,6.7,72,1010.4,11.6,NW,9.5,0,0
171,2013,1,8,2,4,78,91,78,6.7,71,1010.4,11.8,NE,3,0,0
172,2013,1,8,3,4,69,84,69,6.4,70,1010.6,11.7,NE,7.5,0,0
173,2013,1,8,4,4,63,82,63,6.2,69,1010.4,11.7,NE,12.1,0,0
174,2013,1,8,5,4,47,55,47,6.3,71,1010.2,11.4,NE,13.4,0,0
175,2013,1,8,6,4,54,54,54,6.4,72,1010.4,11.3,NW,2.4,0,0
176,2013,1,8,7,4,57,59,57,6.4,73,1011.1,11.1,NE,3,0,0
177,2013,1,8,8,4,54,60,54,6.4,72,1011.7,11.3,NE,5.5,0,0
178,2013,1,8,9,4,60,NA,60,6.8,70,1012.6,12.1,NE,7.7,0,0
179,2013,1,8,10,4,68,66,68,7.3,67,1012.9,13.3,NE,10.1,0,0
180,2013,1,8,11,4,78,NA,78,7.2,61,1012.1,14.6,NE,13.5,0,0
181,2013,1,8,12,4,79,83,79,7.4,56,1011.3,16.2,NE,16.4,0,0
182,2013,1,8,13,4,91,89,91,7,51,1009.8,17.2,SE,0.8,0,0
183,2013,1,8,14,4,107,88,107,7.6,51,1008.7,17.9,NW,1.8,0,0
184,2013,1,8,15,4,76,107,76,7,49,1008.2,17.9,NE,1.4,0,0
185,2013,1,8,16,4,69,82,69,8.1,52,1007.8,18.1,NW,3,0,0
186,2013,1,8,17,4,77,NA,77,7.7,57,1008.4,16.2,NE,4.6,0,0
187,2013,1,8,18,4,74,74,74,7.5,61,1008.8,14.9,NE,8.7,0,0
188,2013,1,8,19,4,66,69,66,7.5,65,1009.5,14,NW,3.2,0,0
189,2013,1,8,20,4,53,69,53,7.1,65,1010.4,13.5,NE,4.4,0,0
190,2013,1,8,21,4,60,59,60,7,67,1010.7,13,NW,4.1,0,0
191,2013,1,8,22,4,59,65,59,6.7,66,1011.6,12.9,NE,4.8,0,0
192,2013,1,8,23,4,56,62,56,6.1,64,1012.2,12.7,NW,5.6,0,0
193,2013,1,9,0,4,56,59,56,6,65,1012.6,12.4,NW,12.7,0,0
194,2013,1,9,1,4,47,61,47,5.9,66,1012.8,12.1,NE,6.7,0,0
195,2013,1,9,2,4,54,59,54,6,69,1012.4,11.5,NE,13.8,0,0
196,2013,1,9,3,4,53,59,53,6.1,71,1012.5,11.2,NW,6.9,0,0
197,2013,1,9,4,4,46,64,46,6,72,1012.3,10.8,NE,6.1,0,0
198,2013,1,9,5,4,43,63,43,5.2,71,1012.3,10.2,NE,13.6,0,0
199,2013,1,9,6,4,45,61,45,5.3,73,1012.5,9.9,NW,6.2,0,0
200,2013,1,9,7,4,52,60,52,4.8,71,1013.3,9.8,NW,11.5,0,0
201,2013,1,9,8,4,56,NA,56,4.6,70,1014.7,9.8,NE,3.8,0,0
202,2013,1,9,9,4,57,56,57,4.7,69,1015,10.1,NW,3.2,0,0
203,2013,1,9,10,4,55,57,55,4.1,65,1015.8,10.4,NW,8.2,0,0
204,2013,1,9,11,4,43,55,43,3.9,60,1014.8,11.4,NE,7.5,0,0
205,2013,1,9,12,4,48,NA,48,3.5,56,1013.8,12,NE,14.4,0,0
206,2013,1,9,13,4,49,44,49,3.8,55,1012.6,12.6,NE,19.2,0,0
207,2013,1,9,14,4,56,NA,56,3.3,54,1011.8,12.3,NW,6.3,0,0
208,2013,1,9,15,4,51,48,51,3.7,55,1011.8,12.5,NE,4.9,0,0
209,2013,1,9,16,4,60,58,60,3.5,56,1011.8,12,NW,5.2,0,0
210,2013,1,9,17,4,52,NA,52,3,57,1012.5,11.2,NW,11.5,0,0
211,2013,1,9,18,4,60,NA,60,3,58,1012.9,10.9,NW,16,0,0
212,2013,1,9,19,4,54,66,54,3.1,59,1013.3,10.8,NE,4.5,0,0
213,2013,1,9,20,4,61,71,61,3,59,1013.6,10.7,NW,4,0,0
214,2013,1,9,21,4,62,65,62,3.1,60,1014.2,10.5,NW,7.7,0,0
215,2013,1,9,22,4,61,69,61,3.1,61,1014.6,10.3,NW,12,0,0
216,2013,1,9,23,4,63,70,63,2.6,59,1015,10.2,NE,4.3,0,0
217,2013,1,10,0,4,70,78,70,1.9,57,1015.2,10,NE,10.4,0,0
218,2013,1,10,1,4,72,76,72,1.4,56,1015.5,9.8,NW,5.5,0,0
219,2013,1,10,2,4,73,79,73,1.8,59,1015.1,9.4,NE,5.5,0,0
220,2013,1,10,3,4,81,83,81,2,62,1014.7,8.9,NW,3.7,0,0
221,2013,1,10,4,4,77,83,77,1.1,60,1013.9,8.4,NE,4.9,0,0
222,2013,1,10,5,4,81,81,81,1,60,1014.1,8.3,NE,9.2,0,0
223,2013,1,10,6,4,89,77,89,0.4,57,1014.8,8.4,NW,4,0,0
224,2013,1,10,7,4,89,NA,89,-0.3,54,1015.1,8.5,NW,8.2,0,0
225,2013,1,10,8,4,84,90,84,0.2,55,1015.5,8.7,NE,3.1,0,0
226,2013,1,10,9,4,90,90,90,0.5,55,1016.1,9.1,NE,6,0,0
227,2013,1,10,10,4,100,103,100,0.5,51,1016.3,10.2,NE,10.1,0,0
228,2013,1,10,11,4,100,102,100,1.1,48,1015.5,11.7,NW,4.4,0,0
229,2013,1,10,12,4,95,100,95,1.3,46,1014.5,12.6,NW,8.6,0,0
230,2013,1,10,13,4,111,104,111,2.7,46,1013.4,14.1,NE,3.5,0,0
231,2013,1,10,14,4,95,NA,95,3.1,46,1012,14.6,NE,6.8,0,0
232,2013,1,10,15,4,96,102,96,3.1,44,1011.9,15.3,NE,11.4,0,0
233,2013,1,10,16,4,94,105,94,3.1,46,1012.1,14.6,NE,15.5,0,0
234,2013,1,10,17,4,98,95,98,3.3,49,1012,13.8,NE,18,0,0
235,2013,1,10,18,4,101,101,101,3.4,52,1012.6,13,NW,2.5,0,0
236,2013,1,10,19,4,106,108,106,4,56,1012.8,12.5,NW,5.4,0,0
237,2013,1,10,20,4,102,NA,102,4.4,58,1013.5,12.4,NW,7.4,0,0
238,2013,1,10,21,4,111,114,111,5.7,65,1013.8,12.1,NE,2.7,0,0
239,2013,1,10,22,4,115,105,115,5.8,66,1014.5,11.9,NW,0.9,0,0
240,2013,1,10,23,4,113,104,113,7,72,1014.7,11.9,NW,3,0,0
241,2013,1,11,0,4,120,108,120,7,73,1014.8,11.7,NE,2.1,0,0
242,2013,1,11,1,4,125,104,125,6.4,69,1015.2,11.9,NW,2.2,0,0
243,2013,1,11,2,4,120,NA,120,5.3,64,1014.8,11.9,NE,2.7,0,0
244,2013,1,11,3,4,108,NA,108,5.5,65,1014,11.9,NE,4.5,0,0
245,2013,1,11,4,4,108,NA,108,5.3,65,1013.4,11.6,NW,3.2,0,0
246,2013,1,11,5,4,98,NA,98,5,64,1014.1,11.6,NW,6.9,0,0
247,2013,1,11,6,4,98,NA,98,5,66,1013.8,11.1,NE,3.7,0,0
248,2013,1,11,7,4,98,NA,98,4.8,66,1014.1,10.9,NE,6.9,0,0
249,2013,1,11,8,4,83,97,83,4.5,64,1014.6,11,NE,10.6,0,0
250,2013,1,11,9,4,89,92,89,5.4,62,1014.8,12.5,NE,13.1,0,0
251,2013,1,11,10,4,96,NA,96,5.4,60,1015.4,13,NW,2.4,0,0
252,2013,1,11,11,4,99,92,99,5.7,59,1014.8,13.5,NW,5.9,0,0
253,2013,1,11,12,4,98,940,98,6,57,1013.8,14.4,NE,4.9,0,0
254,2013,1,11,13,4,101,139,101,6.2,56,1012.9,14.9,NW,3.7,0,0
255,2013,1,11,14,4,100,90,100,6.3,56,1012.2,15,NE,3.9,0,0
256,2013,1,11,15,4,105,109,105,6.5,56,1012,15.2,NW,3.4,0,0
257,2013,1,11,16,4,94,NA,94,6.2,56,1011.8,14.9,NE,4.8,0,0
258,2013,1,11,17,4,81,103,81,6.4,59,1012,14.3,NW,4.7,0,0
259,2013,1,11,18,4,102,99,102,6.6,62,1012.4,13.7,NW,8.3,0,0
260,2013,1,11,19,4,102,111,102,6.3,63,1012.6,13.2,NW,12.6,0,0
261,2013,1,11,20,4,NA,113,NA,6.4,65,1013,12.8,NE,4.8,0,0
262,2013,1,11,21,4,102,102,102,6.4,68,1013.5,12.1,NW,3.1,0,0
263,2013,1,11,22,4,106,99,106,6.6,71,1013.9,11.7,NW,5.4,0,0
264,2013,1,11,23,4,87,97,87,6.4,69,1014.2,11.9,NE,2.9,0,0
265,2013,1,12,0,4,96,101,96,6.4,69,1014.5,11.9,NE,6.8,0,0
266,2013,1,12,1,4,94,99,94,6.5,71,1015.1,11.6,NE,10,0,0
267,2013,1,12,2,4,90,105,90,6.3,72,1014.5,11.2,NE,13.6,0,0
268,2013,1,12,3,4,90,98,90,6.5,75,1014.5,10.7,NW,2,0,0
269,2013,1,12,4,4,80,97,80,6.3,75,1013.8,10.5,NE,3.7,0,0
270,2013,1,12,5,4,61,93,61,6,75,1013.5,10.2,NE,8.8,0,0
271,2013,1,12,6,4,79,90,79,5.9,77,1012.6,9.7,NE,14.3,0,0
272,2013,1,12,7,4,79,NA,79,5.8,79,1012.7,9.3,NW,4.6,0,0
273,2013,1,12,8,4,80,NA,80,6.3,80,1013.7,9.6,NW,8,0,0
274,2013,1,12,9,4,74,83,74,6.4,70,1013.6,11.7,NE,5.1,0,0
275,2013,1,12,10,4,74,77,74,6.9,65,1013.3,13.3,NE,8.7,0,0
276,2013,1,12,11,4,119,70,119,7.3,59,1013.1,15.3,NE,10.5,0,0
277,2013,1,12,12,4,14,85,14,7.4,54,1011.8,16.8,NW,1.7,0,0
278,2013,1,12,13,4,91,82,91,7.7,54,1010.4,17.1,SW,2,0,0
279,2013,1,12,14,4,85,97,85,8.5,55,1009.6,17.6,SE,1.2,0,0
280,2013,1,12,15,4,87,97,87,8.3,51,1008.9,18.6,SW,2.4,0,0
281,2013,1,12,16,4,93,99,93,8.5,51,1009,18.8,SW,4.9,0,0
282,2013,1,12,17,4,85,104,85,8.3,55,1009.2,17.4,NW,2.4,0,0
283,2013,1,12,18,4,74,NA,74,8.2,58,1009.4,16.5,NW,7.5,0,0
284,2013,1,12,19,4,66,81,66,7.9,62,1009.5,15.1,NW,12.4,0,0
285,2013,1,12,20,4,75,73,75,7.6,65,1010,14.1,NW,15.8,0,0
286,2013,1,12,21,4,81,83,81,7.8,70,1010,13.1,NW,18.6,0,0
287,2013,1,12,22,4,91,90,91,7.8,71,1009.8,12.9,NW,21.2,0,0
288,2013,1,12,23,4,104,92,104,7.8,69,1009.7,13.4,NW,23,0,0
289,2013,1,13,0,4,113,NA,113,7.9,71,1009.3,13,NW,23.8,0,0
290,2013,1,13,1,4,74,117,74,7.7,72,1009.4,12.6,NW,28,0,0
291,2013,1,13,2,4,69,80,69,8.1,76,1009.4,12.2,NE,3.4,0,0
292,2013,1,13,3,4,70,78,70,8.4,79,1009.4,11.9,NW,3.4,0,0
293,2013,1,13,4,4,65,84,65,8.1,78,1009.1,11.8,NW,6.5,0,0
294,2013,1,13,5,4,65,82,65,8.1,77,1009.1,12,NW,9.1,0,0
295,2013,1,13,6,4,68,76,68,8.1,79,1009.3,11.6,NW,12.4,0,0
296,2013,1,13,7,4,67,74,67,7.8,83,1009.5,10.6,NW,14.3,0,0
297,2013,1,13,8,4,63,63,63,7.9,83,1009.9,10.7,NW,15.6,0,0
298,2013,1,13,9,4,68,71,68,8.4,74,1010.4,12.9,NW,17.8,0,0
299,2013,1,13,10,4,68,70,68,8.4,68,1010.5,14.2,NE,5.8,0,0
300,2013,1,13,11,4,46,47,46,8.5,64,1009.6,15.3,NW,6,0,0
301,2013,1,13,12,4,41,50,41,8.7,60,1008.5,16.5,NW,10.2,0,0
302,2013,1,13,13,4,23,NA,23,9.3,58,1007.2,17.7,NW,11.5,0,0
303,2013,1,13,14,4,35,32,35,9.3,53,1006.3,19.1,NW,16.1,0,0
304,2013,1,13,15,4,44,40,44,9.4,53,1005.8,19.2,NE,4.5,0,0
305,2013,1,13,16,4,37,45,37,9.2,51,1005.4,19.6,NE,7.4,0,0
306,2013,1,13,17,4,37,32,37,8.6,53,1005.8,18.3,NE,10.4,0,0
307,2013,1,13,18,4,55,36,55,9,62,1006.4,16.3,NW,3.1,0,0
308,2013,1,13,19,4,66,51,66,9.4,74,1007,14,NW,6,0,0
309,2013,1,13,20,4,54,NA,54,9.2,76,1007.7,13.3,NW,10.4,0,0
310,2013,1,13,21,4,45,54,45,8.9,73,1008.6,13.6,NW,13.5,0,0
311,2013,1,13,22,4,55,53,55,8.5,74,1009.6,13,NW,17.2,0,0
312,2013,1,13,23,4,53,60,53,7.6,72,1010,12.5,NE,6.7,0,0
313,2013,1,14,0,4,45,55,45,7,73,1010.5,11.7,NE,8.8,0,0
