No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
75,2013,1,4,2,4,NA,NA,NA,58,-22,59,1038,-16,NW,18.34,0,0
76,2013,1,4,3,4,NA,NA,NA,56,-22,65,1038,-17,NW,20.13,0,0
77,2013,1,4,4,4,NA,NA,NA,62,-21,55,1037,-14,NW,23.26,0,0
78,2013,1,4,5,4,NA,NA,NA,37,-22,55,1036,-15,NW,26.39,0,0
79,2013,1,4,6,4,NA,NA,NA,37,-23,54,1036,-16,NW,28.18,0,0
80,2013,1,4,7,4,NA,NA,NA,41,-22,55,1035,-15,NW,29.97,0,0
81,2013,1,4,8,4,NA,NA,NA,41,-22,59,1035,-16,NW,31.76,0,0
82,2013,1,4,9,4,NA,NA,NA,39,-20,47,1035,-11,NW,34.89,0,0
83,2013,1,4,10,4,NA,NA,NA,48,-21,34,1035,-8,NW,38.02,0,0
84,2013,1,4,11,4,NA,NA,NA,59,-22,29,1034,-7,cv,0.89,0,0
85,2013,1,4,12,4,NA,NA,NA,63,-21,27,1032,-5,NW,1.79,0,0
86,2013,1,4,13,4,NA,NA,NA,74,-22,24,1031,-5,NW,4.92,0,0
87,2013,1,4,14,4,NA,NA,NA,69,-22,21,1029,-3,cv,1.79,0,0
88,2013,1,4,15,4,NA,NA,NA,79,-23,19,1029,-3,NW,3.13,0,0
89,2013,1,4,16,4,NA,NA,NA,89,-23,21,1029,-4,SE,3.13,0,0
90,2013,1,4,17,4,NA,NA,NA,94,-22,23,1028,-4,SE,4.92,0,0
91,2013,1,4,18,4,NA,NA,NA,113,-21,37,1028,-9,NE,1.79,0,0
92,2013,1,4,19,4,NA,NA,NA,132,-20,40,1028,-9,cv,0.45,0,0
93,2013,1,4,20,4,NA,NA,NA,186,-18,51,1029,-10,cv,0.9,0,0
94,2013,1,4,21,4,NA,NA,NA,205,-18,60,1029,-12,cv,1.79,0,0
95,2013,1,4,22,4,NA,NA,NA,204,-18,66,1029,-13,cv,2.68,0,0
96,2013,1,4,23,4,NA,NA,NA,198,-19,71,1029,-15,NW,1.79,0,0
97,2013,1,5,0,4,NA,NA,NA,176,-18,71,1029,-14,NW,2.68,0,0
98,2013,1,5,1,4,NA,NA,NA,111,-20,60,1028,-14,cv,0.89,0,0
99,2013,1,5,2,4,NA,NA,NA,140,-20,47,1028,-11,NE,3.13,0,0
100,2013,1,5,3,4,NA,NA,NA,78,-22,50,1028,-14,NW,3.13,0,0
101,2013,1,5,4,4,NA,NA,NA,30,-21,55,1028,-14,NW,8.05,0,0
102,2013,1,5,5,4,NA,NA,NA,31,-21,47,1028,-12,NW,12.97,0,0
103,2013,1,5,6,4,NA,NA,NA,34,-22,36,1028,-10,NE,4.92,0,0
104,2013,1,5,7,4,NA,NA,NA,29,-23,36,1029,-11,NW,4.02,0,0
105,2013,1,5,8,4,NA,NA,NA,40,-22,31,1029,-8,NW,8.04,0,0
106,2013,1,5,9,4,NA,NA,NA,43,-23,26,1030,-7,NE,4.92,0,0
107,2013,1,5,10,4,NA,NA,NA,43,-23,22,1030,-5,NE,10.73,0,0
108,2013,1,5,11,4,NA,NA,NA,39,-23,18,1030,-2,NW,4.92,0,0
109,2013,1,5,12,4,NA,NA,NA,38,-22,21,1029,-3,NE,4.92,0,0
110,2013,1,5,13,4,NA,NA,NA,37,-22,19,1028,-2,NE,9.84,0,0
111,2013,1,5,14,4,NA,NA,NA,37,-22,18,1027,-1,NE,13.86,0,0
112,2013,1,5,15,4,NA,NA,NA,36,-22,17,1028,0,NE,16.99,0,0
113,2013,1,5,16,4,NA,NA,NA,41,-22,18,1028,-1,NE,18.78,0,0
114,2013,1,5,17,4,NA,NA,NA,49,-21,23,1028,-3,NE,19.67,0,0
115,2013,1,5,18,4,NA,NA,NA,69,-20,29,1029,-5,NE,20.56,0,0
116,2013,1,5,19,4,NA,NA,NA,86,-20,37,1029,-8,NW,1.79,0,0
117,2013,1,5,20,4,NA,NA,NA,73,-19,47,1029,-10,NW,4.92,0,0
118,2013,1,5,21,4,NA,NA,NA,64,-20,40,1029,-9,NW,8.05,0,0
119,2013,1,5,22,4,NA,NA,NA,72,-20,40,1030,-9,NW,11.18,0,0
120,2013,1,5,23,4,NA,NA,NA,72,-18,48,1030,-9,NW,14.31,0,0
121,2013,1,6,0,4,NA,NA,NA,49,-19,47,1030,-10,NE,1.79,0,0
122,2013,1,6,1,4,NA,NA,NA,48,-18,44,1030,-8,NE,4.92,0,0
123,2013,1,6,2,4,NA,NA,NA,34,-19,47,1030,-10,NW,3.13,0,0
124,2013,1,6,3,4,NA,NA,NA,40,-18,56,1030,-11,NW,7.15,0,0
125,2013,1,6,4,4,NA,NA,NA,39,-18,66,1029,-13,NW,10.28,0,0
126,2013,1,6,5,4,NA,NA,NA,30,-18,66,1029,-13,NW,14.3,0,0
127,2013,1,6,6,4,NA,NA,NA,32,-18,60,1029,-12,NW,18.32,0,0
128,2013,1,6,7,4,NA,NA,NA,41,-18,60,1029,-12,NW,22.34,0,0
129,2013,1,6,8,4,NA,NA,NA,45,-18,56,1029,-11,NW,25.47,0,0
130,2013,1,6,9,4,NA,NA,NA,61,-17,44,1030,-7,NW,28.6,0,0
131,2013,1,6,10,4,NA,NA,NA,50,-18,35,1030,-5,NW,31.73,0,0
132,2013,1,6,11,4,NA,NA,NA,65,-19,27,1029,-3,NW,34.86,0,0
133,2013,1,6,12,4,NA,NA,NA,70,-19,27,1028,-3,NE,1.79,0,0
134,2013,1,6,13,4,NA,NA,NA,78,-19,25,1027,-2,NW,1.79,0,0
135,2013,1,6,14,4,NA,NA,NA,108,-19,24,1026,-1,NW,3.58,0,0
136,2013,1,6,15,4,NA,NA,NA,142,-19,24,1025,-1,SE,3.13,0,0
137,2013,1,6,16,4,NA,NA,NA,193,-18,26,1025,-1,SE,6.26,0,0
138,2013,1,6,17,4,NA,NA,NA,204,-18,26,1025,-1,SE,9.39,0,0
139,2013,1,6,18,4,NA,NA,NA,266,-17,33,1025,-3,SE,12.52,0,0
140,2013,1,6,19,4,NA,NA,NA,335,-16,33,1026,-2,SE,15.65,0,0
141,2013,1,6,20,4,NA,NA,NA,392,-16,45,1025,-6,cv,0.45,0,0
142,2013,1,6,21,4,NA,NA,NA,413,-15,52,1026,-7,NE,0.89,0,0
143,2013,1,6,22,4,NA,NA,NA,339,-14,67,1026,-9,cv,0.89,0,0
144,2013,1,6,23,4,NA,NA,NA,285,-14,72,1026,-10,SE,0.89,0,0
145,2013,1,7,0,4,NA,NA,NA,236,-14,72,1026,-10,cv,0.45,0,0
146,2013,1,7,1,4,NA,NA,NA,173,-16,72,1026,-12,NW,1.79,0,0
147,2013,1,7,2,4,NA,NA,NA,159,-17,71,1025,-13,NW,4.92,0,0
148,2013,1,7,3,4,NA,NA,NA,128,-16,72,1025,-12,NW,8.05,0,0
149,2013,1,7,4,4,NA,NA,NA,99,-17,66,1025,-12,NW,9.84,0,0
150,2013,1,7,5,4,NA,NA,NA,89,-16,72,1025,-12,NW,11.63,0,0
151,2013,1,7,6,4,NA,NA,NA,88,-17,77,1025,-14,NW,14.76,0,0
152,2013,1,7,7,4,NA,NA,NA,84,-17,66,1025,-12,NW,16.55,0,0
153,2013,1,7,8,4,NA,NA,NA,71,-16,66,1025,-11,NW,19.68,0,0
154,2013,1,7,9,4,NA,NA,NA,76,-15,52,1026,-7,NW,21.47,0,0
155,2013,1,7,10,4,NA,NA,NA,78,-16,41,1026,-5,NW,23.26,0,0
156,2013,1,7,11,4,NA,NA,NA,89,-16,41,1026,-5,cv,0.89,0,0
157,2013,1,7,12,4,NA,NA,NA,102,-15,39,1025,-3,NW,3.13,0,0
158,2013,1,7,13,4,NA,NA,NA,113,-15,33,1025,-1,cv,1.79,0,0
159,2013,1,7,14,4,NA,NA,NA,134,-18,22,1024,1,NW,1.79,0,0
160,2013,1,7,15,4,NA,NA,NA,33,-19,20,1024,1,cv,0.89,0,0
161,2013,1,7,16,4,NA,NA,NA,133,-19,22,1024,0,cv,1.34,0,0
162,2013,1,7,17,4,NA,NA,NA,150,-16,35,1024,-3,cv,2.23,0,0
163,2013,1,7,18,4,NA,NA,NA,164,-15,42,1024,-4,SE,0.89,0,0
164,2013,1,7,19,4,NA,NA,NA,194,-14,57,1025,-7,NE,0.89,0,0
165,2013,1,7,20,4,NA,NA,NA,233,-14,57,1026,-7,SE,1.79,0,0
166,2013,1,7,21,4,NA,NA,NA,250,-14,61,1026,-8,SE,2.68,0,0
167,2013,1,7,22,4,NA,NA,NA,299,-14,57,1027,-7,cv,0.45,0,0
168,2013,1,7,23,4,NA,NA,NA,333,-13,67,1027,-8,cv,0.9,0,0
169,2013,1,8,0,4,NA,NA,NA,357,-14,72,1028,-10,NW,1.79,0,0
170,2013,1,8,1,4,NA,NA,NA,390,-14,72,1028,-10,NE,0.89,0,0
171,2013,1,8,2,4,NA,NA,NA,326,-13,67,1029,-8,NE,2.68,0,0
172,2013,1,8,3,4,NA,NA,NA,402,-14,67,1029,-9,NE,3.57,0,0
173,2013,1,8,4,4,NA,NA,NA,365,-14,72,1029,-10,NE,4.46,0,0
174,2013,1,8,5,4,NA,NA,NA,257,-15,84,1029,-13,NW,1.79,0,0
175,2013,1,8,6,4,NA,NA,NA,135,-14,85,1030,-12,NW,4.92,0,0
176,2013,1,8,7,4,NA,NA,NA,159,-15,72,1030,-11,NW,6.71,0,0
177,2013,1,8,8,4,NA,NA,NA,170,-13,78,1032,-10,NE,1.79,0,0
178,2013,1,8,9,4,NA,NA,NA,36,-11,73,1033,-7,cv,0.89,0,0
179,2013,1,8,10,4,NA,NA,NA,19,-16,38,1033,-4,NW,8.05,0,0
180,2013,1,8,11,4,NA,NA,NA,20,-17,33,1033,-3,NW,15.2,0,0
181,2013,1,8,12,4,NA,NA,NA,18,-19,25,1031,-2,NW,23.25,0,0
182,2013,1,8,13,4,NA,NA,NA,19,-19,25,1031,-2,NW,33.08,0,0
183,2013,1,8,14,4,NA,NA,NA,14,-20,23,1031,-2,NW,40.23,0,0
184,2013,1,8,15,4,NA,NA,NA,11,-20,23,1031,-2,NW,45.15,0,0
185,2013,1,8,16,4,NA,NA,NA,16,-21,21,1031,-2,NW,52.3,0,0
186,2013,1,8,17,4,NA,NA,NA,19,-22,21,1031,-3,NW,58.11,0,0
187,2013,1,8,18,4,NA,NA,NA,18,-21,25,1031,-4,NW,63.03,0,0
188,2013,1,8,19,4,NA,NA,NA,21,-21,34,1032,-8,NW,67.05,0,0
189,2013,1,8,20,4,NA,NA,NA,21,-22,36,1032,-10,NW,71.07,0,0
190,2013,1,8,21,4,NA,NA,NA,17,-21,37,1033,-9,NW,75.09,0,0
191,2013,1,8,22,4,NA,NA,NA,19,-23,31,1033,-9,NW,78.22,0,0
192,2013,1,8,23,4,NA,NA,NA,23,-23,26,1034,-7,NW,82.24,0,0
193,2013,1,9,0,4,NA,NA,NA,29,-23,33,1034,-10,NE,1.79,0,0
194,2013,1,9,1,4,NA,NA,NA,22,-23,36,1033,-11,NW,3.13,0,0
195,2013,1,9,2,4,NA,NA,NA,18,-22,34,1033,-9,NW,7.15,0,0
196,2013,1,9,3,4,NA,NA,NA,24,-21,47,1033,-12,NW,11.17,0,0
197,2013,1,9,4,4,NA,NA,NA,22,-22,43,1032,-12,NW,14.3,0,0
198,2013,1,9,5,4,NA,NA,NA,17,-21,47,1032,-12,NW,16.09,0,0
199,2013,1,9,6,4,NA,NA,NA,27,-21,51,1032,-13,cv,0.89,0,0
200,2013,1,9,7,4,NA,NA,NA,44,-20,55,1032,-13,NW,1.79,0,0
201,2013,1,9,8,4,NA,NA,NA,46,-20,65,1032,-15,NE,1.79,0,0
202,2013,1,9,9,4,NA,NA,NA,35,-18,48,1033,-9,cv,0.89,0,0
203,2013,1,9,10,4,NA,NA,NA,48,-19,34,1033,-6,NW,1.79,0,0
204,2013,1,9,11,4,NA,NA,NA,59,-20,27,1032,-4,cv,0.89,0,0
205,2013,1,9,12,4,NA,NA,NA,69,-19,27,1031,-3,NW,1.79,0,0
206,2013,1,9,13,4,NA,NA,NA,72,-19,24,1029,-1,cv,0.89,0,0
207,2013,1,9,14,4,NA,NA,NA,59,-23,14,1028,1,NW,4.92,0,0
208,2013,1,9,15,4,NA,NA,NA,57,-23,14,1028,1,NW,9.84,0,0
209,2013,1,9,16,4,NA,NA,NA,67,-23,15,1028,0,NW,13.86,0,0
210,2013,1,9,17,4,NA,NA,NA,75,-18,26,1028,-1,SE,4.02,0,0
211,2013,1,9,18,4,NA,NA,NA,15,-18,30,1028,-3,SE,7.15,0,0
212,2013,1,9,19,4,NA,NA,NA,38,-15,45,1028,-5,SE,10.28,0,0
213,2013,1,9,20,4,NA,NA,NA,41,-15,42,1029,-4,SE,12.07,0,0
214,2013,1,9,21,4,NA,NA,NA,63,-14,57,1029,-7,cv,0.89,0,0
215,2013,1,9,22,4,NA,NA,NA,234,-15,57,1029,-8,SE,0.89,0,0
216,2013,1,9,23,4,NA,NA,NA,305,-15,72,1029,-11,cv,0.89,0,0
217,2013,1,10,0,4,NA,NA,NA,304,-15,78,1029,-12,NE,0.89,0,0
218,2013,1,10,1,4,NA,NA,NA,303,-16,72,1029,-12,NE,1.78,0,0
219,2013,1,10,2,4,NA,NA,NA,221,-17,71,1029,-13,NW,1.79,0,0
220,2013,1,10,3,4,NA,NA,NA,179,-17,71,1029,-13,NW,2.68,0,0
221,2013,1,10,4,4,NA,NA,NA,162,-18,71,1028,-14,NW,5.81,0,0
222,2013,1,10,5,4,NA,NA,NA,111,-18,71,1028,-14,NW,8.94,0,0
223,2013,1,10,6,4,NA,NA,NA,114,-17,71,1028,-13,NW,10.73,0,0
224,2013,1,10,7,4,NA,NA,NA,81,-17,71,1028,-13,NW,13.86,0,0
225,2013,1,10,8,4,NA,NA,NA,56,-16,72,1029,-12,NW,16.99,0,0
226,2013,1,10,9,4,NA,NA,NA,63,-15,61,1029,-9,NW,18.78,0,0
227,2013,1,10,10,4,NA,NA,NA,79,-15,52,1029,-7,cv,0.89,0,0
228,2013,1,10,11,4,NA,NA,NA,84,-15,48,1029,-6,cv,1.78,0,0
229,2013,1,10,12,4,NA,NA,NA,97,-14,45,1028,-4,cv,2.67,0,0
230,2013,1,10,13,4,NA,NA,NA,111,-13,45,1027,-3,SE,1.79,0,0
231,2013,1,10,14,4,NA,NA,NA,167,-11,53,1027,-3,SE,3.58,0,0
232,2013,1,10,15,4,NA,NA,NA,279,-11,53,1026,-3,SE,5.37,0,0
233,2013,1,10,16,4,NA,NA,NA,395,-10,58,1026,-3,SE,7.16,0,0
234,2013,1,10,17,4,NA,NA,NA,449,-9,73,1026,-5,SE,8.95,0,0
235,2013,1,10,18,4,NA,NA,NA,389,-10,79,1026,-7,SE,9.84,0,0
236,2013,1,10,19,4,NA,NA,NA,421,-9,85,1027,-7,SE,10.73,0,0
237,2013,1,10,20,4,NA,NA,NA,486,-9,85,1027,-7,SE,12.52,0,0
238,2013,1,10,21,4,NA,NA,NA,486,-8,92,1027,-7,SE,15.65,0,0
239,2013,1,10,22,4,NA,NA,NA,488,-7,92,1027,-6,cv,0.89,0,0
240,2013,1,10,23,4,NA,NA,NA,434,-7,92,1027,-6,SE,0.89,0,0
241,2013,1,11,0,4,NA,NA,NA,425,-7,92,1026,-6,cv,0.89,0,0
242,2013,1,11,1,4,NA,NA,NA,418,-7,85,1025,-5,cv,1.78,0,0
243,2013,1,11,2,4,NA,NA,NA,416,-7,85,1026,-5,cv,2.67,0,0
244,2013,1,11,3,4,NA,NA,NA,402,-7,85,1025,-5,NW,1.79,0,0
245,2013,1,11,4,4,NA,NA,NA,429,-7,85,1024,-5,NW,2.68,0,0
246,2013,1,11,5,4,NA,NA,NA,408,-7,85,1024,-5,NW,4.47,0,0
247,2013,1,11,6,4,NA,NA,NA,456,-7,85,1024,-5,NW,6.26,0,0
248,2013,1,11,7,4,NA,NA,NA,434,-7,85,1024,-5,NW,8.05,0,0
249,2013,1,11,8,4,NA,NA,NA,391,-7,85,1025,-5,NW,9.84,0,0
250,2013,1,11,9,4,NA,NA,NA,377,-6,92,1025,-5,NE,0.89,0,0
251,2013,1,11,10,4,NA,NA,NA,377,-7,79,1025,-4,NW,3.13,0,0
252,2013,1,11,11,4,NA,NA,NA,361,-7,73,1024,-3,NW,6.26,0,0
253,2013,1,11,12,4,NA,NA,NA,343,-7,68,1023,-2,NW,9.39,0,0
254,2013,1,11,13,4,NA,NA,NA,356,-7,63,1022,-1,cv,0.89,0,0
255,2013,1,11,14,4,NA,NA,NA,353,-7,63,1022,-1,cv,1.78,0,0
256,2013,1,11,15,4,NA,NA,NA,340,-8,54,1022,0,cv,2.67,0,0
257,2013,1,11,16,4,NA,NA,NA,146,-9,47,1022,1,cv,3.56,0,0
258,2013,1,11,17,4,NA,NA,NA,216,-10,43,1023,1,NW,3.13,0,0
259,2013,1,11,18,4,NA,NA,NA,291,-8,63,1023,-2,SE,3.13,0,0
260,2013,1,11,19,4,NA,NA,NA,325,-9,68,1024,-4,SE,4.92,0,0
261,2013,1,11,20,4,NA,NA,NA,292,-11,73,1025,-7,cv,1.79,0,0
262,2013,1,11,21,4,NA,NA,NA,371,-9,79,1025,-6,cv,2.68,0,0
263,2013,1,11,22,4,NA,NA,NA,369,-11,85,1025,-9,cv,3.57,0,0
264,2013,1,11,23,4,NA,NA,NA,374,-8,79,1025,-5,SE,3.13,0,0
265,2013,1,12,0,4,NA,NA,NA,391,-10,92,1025,-9,cv,0.89,0,0
266,2013,1,12,1,4,NA,NA,NA,442,-11,92,1025,-10,SE,1.79,0,0
267,2013,1,12,2,4,NA,NA,NA,425,-13,92,1025,-12,NE,1.79,0,0
268,2013,1,12,3,4,NA,NA,NA,442,-12,92,1025,-11,SE,0.89,0,0
269,2013,1,12,4,4,NA,NA,NA,287,-12,92,1024,-11,cv,0.89,0,0
270,2013,1,12,5,4,NA,NA,NA,275,-12,92,1024,-11,cv,1.78,0,0
271,2013,1,12,6,4,NA,NA,NA,174,-13,78,1024,-10,cv,2.67,0,0
272,2013,1,12,7,4,NA,NA,NA,278,-14,85,1024,-12,cv,3.56,0,0
273,2013,1,12,8,4,NA,NA,NA,NA,-15,84,1024,-13,NW,1.79,0,0
274,2013,1,12,9,4,NA,NA,NA,319,-12,85,1024,-10,NW,3.58,0,0
275,2013,1,12,10,4,NA,NA,NA,383,-10,73,1024,-6,NW,5.37,0,0
276,2013,1,12,11,4,NA,NA,NA,472,-9,63,1024,-3,cv,0.89,0,0
277,2013,1,12,12,4,NA,NA,NA,458,-9,63,1022,-3,SE,1.79,0,0
278,2013,1,12,13,4,NA,NA,NA,529,-9,58,1021,-2,SE,3.58,0,0
279,2013,1,12,14,4,NA,NA,NA,802,-7,63,1021,-1,SE,5.37,0,0
280,2013,1,12,15,4,NA,NA,NA,845,-7,63,1021,-1,SE,7.16,0,0
281,2013,1,12,16,4,NA,NA,NA,810,-7,68,1021,-2,SE,8.95,0,0
282,2013,1,12,17,4,NA,NA,NA,776,-7,79,1021,-4,SE,9.84,0,0
283,2013,1,12,18,4,NA,NA,NA,824,-8,85,1021,-6,SE,11.63,0,0
284,2013,1,12,19,4,NA,NA,NA,886,-8,92,1022,-7,cv,0.89,0,0
285,2013,1,12,20,4,NA,NA,NA,852,-8,92,1023,-7,cv,1.34,0,0
286,2013,1,12,21,4,NA,NA,NA,858,-9,92,1023,-8,NE,0.89,0,0
287,2013,1,12,22,4,NA,NA,NA,805,-10,92,1024,-9,cv,0.89,0,0
288,2013,1,12,23,4,NA,NA,NA,744,-10,92,1024,-9,NW,1.79,0,0
289,2013,1,13,0,4,NA,NA,NA,731,-9,92,1024,-8,NW,2.68,0,0
290,2013,1,13,1,4,NA,NA,NA,722,-8,92,1025,-7,NW,4.47,0,0
291,2013,1,13,2,4,NA,NA,NA,684,-6,92,1025,-5,SE,0.89,0,0
292,2013,1,13,3,4,NA,NA,NA,651,-6,92,1025,-5,NW,1.79,0,0
293,2013,1,13,4,4,NA,NA,NA,673,-6,92,1025,-5,NW,3.58,0,0
294,2013,1,13,5,4,NA,NA,NA,584,-6,92,1025,-5,cv,0.89,0,0
295,2013,1,13,6,4,NA,NA,NA,475,-6,85,1025,-4,NW,3.13,0,0
296,2013,1,13,7,4,NA,NA,NA,341,-6,79,1025,-3,NW,6.26,0,0
297,2013,1,13,8,4,NA,NA,NA,288,-6,79,1026,-3,NW,9.39,0,0
298,2013,1,13,9,4,NA,NA,NA,266,-6,74,1026,-2,NW,11.18,0,0
299,2013,1,13,10,4,NA,NA,NA,236,-6,74,1026,-2,NW,14.31,0,0
300,2013,1,13,11,4,NA,NA,NA,295,-6,74,1026,-2,NW,16.1,0,0
