No,year,month,day,hour,season,PM_Taiyuanjie,PM_US Post,PM_Xiaoheyan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
33,2013,1,2,8,4,24,NA,13,-30,68.83,1032,-26,SW,2,0,0
34,2013,1,2,9,4,30,NA,14,-28,63.39,1033,-23,SW,4,0,0
35,2013,1,2,10,4,NA,NA,NA,-27,53.45,1034,-20,SW,7,0,0
36,2013,1,2,11,4,27,NA,24,-27,45.02,1034,-18,SW,10,0,0
37,2013,1,2,12,4,26,NA,24,-27,41.36,1034,-17,SW,13,0,0
38,2013,1,2,13,4,23,NA,20,-26,45.35,1035,-17,SW,16,0,0
39,2013,1,2,14,4,20,NA,20,-25,45.68,1035,-16,SW,20,0,0
40,2013,1,2,15,4,16,NA,15,-25,45.68,1035,-16,SW,23,0,0
41,2013,1,2,16,4,41,NA,45,-26,45.35,1035,-17,SW,25,0,0
42,2013,1,2,17,4,104,NA,90,-26,49.35,1036,-18,SW,27,0,0
43,2013,1,2,18,4,136,NA,135,-26,53.76,1036,-19,SE,3,0,0
44,2013,1,2,19,4,152,NA,132,-26,58.6,1036,-20,SW,2,0,0
45,2013,1,2,20,4,175,NA,156,-26,58.6,1037,-20,SW,5,0,0
46,2013,1,2,21,4,NA,NA,NA,-26,58.6,1037,-20,SW,8,0,0
47,2013,1,2,22,4,150,NA,151,-27,58.31,1037,-21,SW,9,0,0
48,2013,1,2,23,4,132,NA,122,-26,63.93,1038,-21,SW,10,0,0
49,2013,1,3,0,4,91,NA,80,-26,58.6,1038,-20,SW,13,0,0
50,2013,1,3,1,4,33,NA,12,-27,63.66,1038,-22,SW,14,0,0
51,2013,1,3,2,4,26,NA,9,-27,63.66,1039,-22,SW,15,0,0
52,2013,1,3,3,4,22,NA,6,-26,63.93,1039,-21,SW,17,0,0
53,2013,1,3,4,4,17,NA,3,-27,63.66,1039,-22,SW,19,0,0
54,2013,1,3,5,4,16,NA,7,-28,63.39,1039,-23,SE,2,0,0
55,2013,1,3,6,4,25,NA,11,-28,63.39,1040,-23,SW,2,0,0
56,2013,1,3,7,4,31,NA,14,-28,63.39,1040,-23,SE,1,0,0
57,2013,1,3,8,4,40,NA,25,-27,63.66,1041,-22,SE,3,0,0
58,2013,1,3,9,4,43,NA,89,-25,58.89,1041,-19,SE,5,0,0
59,2013,1,3,10,4,37,NA,25,-24,54.37,1041,-17,SE,7,0,0
60,2013,1,3,11,4,40,NA,26,-24,46.01,1041,-15,SW,2,0,0
61,2013,1,3,12,4,51,NA,46,-24,42.37,1040,-14,SW,5,0,0
62,2013,1,3,13,4,58,NA,102,-23,42.7,1039,-13,SW,8,0,0
63,2013,1,3,14,4,54,NA,112,-24,39.05,1039,-13,SW,11,0,0
64,2013,1,3,15,4,68,NA,97,-23,42.7,1039,-13,SW,13,0,0
65,2013,1,3,16,4,98,NA,94,-23,46.33,1039,-14,SW,15,0,0
66,2013,1,3,17,4,117,NA,73,-24,46.01,1038,-15,SE,2,0,0
67,2013,1,3,18,4,104,NA,80,-24,54.37,1038,-17,SE,4,0,0
68,2013,1,3,19,4,97,NA,81,-24,50,1038,-16,SE,7,0,0
69,2013,1,3,20,4,102,NA,190,-26,53.76,1038,-19,SE,9,0,0
70,2013,1,3,21,4,93,NA,190,-25,64.19,1038,-20,SE,11,0,0
71,2013,1,3,22,4,91,NA,167,-25,64.19,1038,-20,SE,13,0,0
72,2013,1,3,23,4,83,NA,156,-25,58.89,1037,-19,SE,16,0,0
73,2013,1,4,0,4,74,NA,164,-26,63.93,1036,-21,SE,18,0,0
74,2013,1,4,1,4,65,NA,191,-26,63.93,1036,-21,SE,20,0,0
75,2013,1,4,2,4,76,NA,217,-24,64.46,1036,-19,SE,22,0,0
76,2013,1,4,3,4,133,NA,235,-25,70.03,1035,-21,cv,2,0,0
77,2013,1,4,4,4,222,NA,226,-27,69.56,1035,-23,SE,1,0,0
78,2013,1,4,5,4,267,NA,227,-26,69.79,1034,-22,SE,3,0,0
79,2013,1,4,6,4,295,NA,241,-25,64.19,1034,-20,SE,5,0,0
80,2013,1,4,7,4,314,NA,286,-24,64.46,1034,-19,SE,8,0,0
81,2013,1,4,8,4,351,NA,329,-23,64.72,1033,-18,SE,11,0,0
82,2013,1,4,9,4,323,NA,337,-22,59.74,1033,-16,SE,15,0,0
83,2013,1,4,10,4,382,NA,367,-20,55.57,1032,-13,SE,18,0,0
84,2013,1,4,11,4,272,NA,337,-19,51.56,1031,-11,SE,21,0,0
85,2013,1,4,12,4,142,NA,210,-17,48.25,1029,-8,SE,23,0,0
86,2013,1,4,13,4,88,NA,71,-17,44.65,1028,-7,SW,3,0,0
87,2013,1,4,14,4,56,NA,46,-18,37.99,1028,-6,SW,6,0,0
88,2013,1,4,15,4,66,NA,47,-18,37.99,1027,-6,SW,8,0,0
89,2013,1,4,16,4,89,NA,55,-17,44.65,1026,-7,SW,10,0,0
90,2013,1,4,17,4,132,NA,87,-14,61.92,1026,-8,SW,13,0,0
91,2013,1,4,18,4,137,NA,108,-14,66.95,1026,-9,SE,2,0,0
92,2013,1,4,19,4,118,NA,74,-15,66.71,1025,-10,SE,4,0,0
93,2013,1,4,20,4,82,NA,64,-17,61.12,1025,-11,SE,6,0,0
94,2013,1,4,21,4,67,NA,53,-18,56.16,1025,-11,SE,9,0,0
95,2013,1,4,22,4,63,NA,46,-17,56.45,1025,-10,SE,12,0,0
96,2013,1,4,23,4,63,NA,47,-17,61.12,1025,-11,SE,15,0,0
97,2013,1,5,0,4,66,NA,48,-17,61.12,1024,-11,SE,18,0,0
98,2013,1,5,1,4,69,NA,52,-17,61.12,1024,-11,SE,21,0,0
99,2013,1,5,2,4,80,NA,61,-16,66.47,1024,-11,SE,24,0,0
100,2013,1,5,3,4,95,NA,71,-18,65.98,1024,-13,SE,25,0,0
101,2013,1,5,4,4,127,NA,96,-20,71.16,1024,-16,cv,1,0,0
102,2013,1,5,5,4,162,NA,123,-21,77.21,1024,-18,cv,2,0,0
103,2013,1,5,6,4,NA,NA,NA,-20,84.23,1025,-18,cv,2,0,0
104,2013,1,5,7,4,NA,NA,NA,-22,83.96,1025,-20,SW,1,0,0
105,2013,1,5,8,4,82,NA,66,-20,84.23,1026,-18,SW,2,0,0
106,2013,1,5,9,4,NA,NA,NA,-17,84.62,1027,-15,SW,3,0,0
107,2013,1,5,10,4,90,NA,48,-16,72.02,1028,-12,SW,5,0,0
108,2013,1,5,11,4,43,NA,54,-18,56.16,1027,-11,SW,7,0,0
109,2013,1,5,12,4,43,NA,48,-17,52.17,1027,-9,SW,10,0,0
110,2013,1,5,13,4,36,NA,39,-17,44.65,1026,-7,SW,11,0,0
111,2013,1,5,14,4,30,NA,36,-18,44.33,1026,-8,NW,3,0,0
112,2013,1,5,15,4,27,NA,30,-18,44.33,1027,-8,NW,5,0,0
113,2013,1,5,16,4,41,NA,30,-18,47.93,1027,-9,SE,2,0,0
114,2013,1,5,17,4,82,NA,50,-19,55.87,1028,-12,SW,2,0,0
115,2013,1,5,18,4,61,NA,61,-19,60.58,1028,-13,SW,3,0,0
116,2013,1,5,19,4,38,NA,51,-19,65.73,1029,-14,SW,4,0,0
117,2013,1,5,20,4,36,NA,35,-20,71.16,1029,-16,SE,2,0,0
118,2013,1,5,21,4,39,NA,158,-22,70.71,1029,-18,SE,4,0,0
119,2013,1,5,22,4,136,NA,232,-23,70.49,1029,-19,SE,6,0,0
120,2013,1,5,23,4,NA,NA,NA,-24,70.26,1029,-20,SE,7,0,0
121,2013,1,6,0,4,NA,NA,NA,-24,76.65,1029,-21,SE,8,0,0
122,2013,1,6,1,4,NA,NA,NA,-24,76.65,1029,-21,SE,10,0,0
123,2013,1,6,2,4,NA,NA,NA,-24,76.65,1029,-21,SE,12,0,0
124,2013,1,6,3,4,187,NA,NA,-26,76.26,1029,-23,SE,13,0,0
125,2013,1,6,4,4,NA,NA,300,-24,76.65,1029,-21,cv,0,0,0
126,2013,1,6,5,4,253,NA,NA,-26,76.26,1029,-23,SE,1,0,0
127,2013,1,6,6,4,289,NA,NA,-26,76.26,1029,-23,SE,2,0,0
128,2013,1,6,7,4,378,NA,426,-26,76.26,1029,-23,cv,1,0,0
129,2013,1,6,8,4,380,NA,486,-25,76.46,1029,-22,SE,2,0,0
130,2013,1,6,9,4,394,NA,500,-20,77.39,1029,-17,SE,4,0,0
131,2013,1,6,10,4,376,NA,401,-18,71.6,1029,-14,cv,0,0,0
132,2013,1,6,11,4,139,NA,450,-18,60.85,1029,-12,NE,1,0,0
133,2013,1,6,12,4,82,NA,380,-17,52.17,1028,-9,cv,1,0,0
134,2013,1,6,13,4,73,NA,301,-17,52.17,1027,-9,SW,2,0,0
135,2013,1,6,14,4,73,NA,55,-18,44.33,1027,-8,SW,4,0,0
136,2013,1,6,15,4,62,NA,32,-18,44.33,1026,-8,SW,6,0,0
137,2013,1,6,16,4,89,NA,37,-18,47.93,1026,-9,cv,1,0,0
138,2013,1,6,17,4,68,NA,49,-19,51.56,1026,-11,SE,1,0,0
139,2013,1,6,18,4,50,NA,82,-20,60.3,1026,-14,SE,2,0,0
140,2013,1,6,19,4,55,NA,327,-20,65.48,1026,-15,SE,3,0,0
141,2013,1,6,20,4,105,NA,453,-20,65.48,1026,-15,SE,5,0,0
142,2013,1,6,21,4,273,NA,396,-20,65.48,1026,-15,SE,7,0,0
143,2013,1,6,22,4,277,NA,333,-21,65.23,1026,-16,SE,9,0,0
144,2013,1,6,23,4,356,NA,424,-21,65.23,1026,-16,SE,11,0,0
145,2013,1,7,0,4,499,NA,402,-22,70.71,1026,-18,NE,2,0,0
146,2013,1,7,1,4,482,NA,257,-23,70.49,1025,-19,NE,4,0,0
147,2013,1,7,2,4,326,NA,184,-24,70.26,1025,-20,NE,8,0,0
148,2013,1,7,3,4,249,NA,161,-24,70.26,1025,-20,NE,11,0,0
149,2013,1,7,4,4,228,NA,144,-24,70.26,1025,-20,NE,16,0,0
150,2013,1,7,5,4,222,NA,138,-24,70.26,1025,-20,NE,20,0,0
151,2013,1,7,6,4,214,NA,151,-24,76.65,1025,-21,NE,23,0,0
152,2013,1,7,7,4,223,NA,168,-24,76.65,1025,-21,NE,28,0,0
153,2013,1,7,8,4,247,NA,211,-24,70.26,1025,-20,NE,31,0,0
154,2013,1,7,9,4,298,NA,249,-22,70.71,1025,-18,NE,35,0,0
155,2013,1,7,10,4,NA,NA,NA,-20,71.16,1025,-16,NE,39,0,0
156,2013,1,7,11,4,NA,NA,NA,-18,65.98,1025,-13,NE,41,0,0
157,2013,1,7,12,4,245,NA,201,-16,66.47,1025,-11,NE,43,0,0
158,2013,1,7,13,4,160,NA,230,-14,66.95,1024,-9,NW,2,0,0
159,2013,1,7,14,4,161,NA,159,-13,62.18,1025,-7,cv,1,0,0
160,2013,1,7,15,4,137,NA,141,-14,61.92,1025,-8,cv,2,0,0
161,2013,1,7,16,4,189,NA,155,-14,61.92,1025,-8,NW,2,0,0
162,2013,1,7,17,4,241,NA,189,-14,66.95,1026,-9,NE,1,0,0
163,2013,1,7,18,4,126,NA,200,-16,61.39,1026,-10,NW,2,0,0
164,2013,1,7,19,4,NA,NA,NA,-17,66.23,1027,-12,NE,3,0,0
165,2013,1,7,20,4,71,NA,115,-18,65.98,1028,-13,NW,3,0,0
166,2013,1,7,21,4,67,NA,72,-19,60.58,1028,-13,NE,5,0,0
167,2013,1,7,22,4,103,NA,77,-20,65.48,1029,-15,NW,3,0,0
168,2013,1,7,23,4,67,NA,73,-20,65.48,1029,-15,NE,3,0,0
169,2013,1,8,0,4,64,NA,73,-21,70.94,1029,-17,NE,5,0,0
170,2013,1,8,1,4,NA,NA,NA,-22,64.97,1029,-17,NE,7,0,0
171,2013,1,8,2,4,63,NA,58,-23,76.84,1030,-20,SE,1,0,0
172,2013,1,8,3,4,101,NA,89,-23,76.84,1030,-20,NE,1,0,0
173,2013,1,8,4,4,107,NA,133,-25,76.46,1030,-22,NE,2,0,0
174,2013,1,8,5,4,104,NA,137,-25,76.46,1030,-22,NE,3,0,0
175,2013,1,8,6,4,116,NA,165,-27,76.07,1030,-24,SE,1,0,0
176,2013,1,8,7,4,121,NA,150,-27,76.07,1031,-24,SE,2,0,0
177,2013,1,8,8,4,112,NA,110,-27,76.07,1032,-24,SW,1,0,0
178,2013,1,8,9,4,NA,NA,NA,-23,76.84,1032,-20,SW,2,0,0
179,2013,1,8,10,4,132,NA,107,-21,77.21,1033,-18,SW,4,0,0
180,2013,1,8,11,4,NA,NA,NA,-20,65.48,1032,-15,SW,7,0,0
181,2013,1,8,12,4,71,NA,63,-21,55.28,1032,-14,SW,10,0,0
182,2013,1,8,13,4,52,NA,48,-21,55.28,1031,-14,NW,3,0,0
183,2013,1,8,14,4,37,NA,32,-22,46.66,1031,-13,SW,2,0,0
184,2013,1,8,15,4,31,NA,28,-23,46.33,1031,-14,SW,5,0,0
185,2013,1,8,16,4,29,NA,20,-23,50.31,1031,-15,SW,7,0,0
186,2013,1,8,17,4,NA,NA,NA,-24,50,1030,-16,SW,9,0,0
187,2013,1,8,18,4,114,NA,162,-24,59.18,1030,-18,SW,11,0,0
188,2013,1,8,19,4,123,NA,178,-24,59.18,1030,-18,SE,2,0,0
189,2013,1,8,20,4,93,NA,232,-23,64.72,1030,-18,SE,4,0,0
190,2013,1,8,21,4,109,NA,117,-26,69.79,1030,-22,SE,6,0,0
191,2013,1,8,22,4,123,NA,260,-26,69.79,1030,-22,SE,7,0,0
192,2013,1,8,23,4,109,NA,313,-26,76.26,1030,-23,SE,9,0,0
193,2013,1,9,0,4,124,NA,263,-27,76.07,1030,-24,SE,11,0,0
194,2013,1,9,1,4,151,NA,238,-28,69.32,1031,-24,cv,1,0,0
195,2013,1,9,2,4,173,NA,214,-28,75.87,1031,-25,SE,2,0,0
196,2013,1,9,3,4,152,NA,232,-28,75.87,1030,-25,SE,3,0,0
197,2013,1,9,4,4,87,NA,218,-29,69.08,1030,-25,SE,4,0,0
198,2013,1,9,5,4,72,NA,NA,-28,69.32,1030,-24,SW,2,0,0
199,2013,1,9,6,4,144,NA,NA,-29,69.08,1030,-25,SE,2,0,0
200,2013,1,9,7,4,299,NA,NA,-29,69.08,1030,-25,SE,4,0,0
201,2013,1,9,8,4,NA,NA,NA,-30,68.83,1030,-26,SE,5,0,0
202,2013,1,9,9,4,196,NA,NA,-25,70.03,1030,-21,SE,6,0,0
203,2013,1,9,10,4,154,NA,422,-23,64.72,1030,-18,SW,2,0,0
204,2013,1,9,11,4,118,NA,233,-22,59.74,1029,-16,SW,4,0,0
205,2013,1,9,12,4,NA,NA,NA,-23,46.33,1028,-14,SW,7,0,0
206,2013,1,9,13,4,56,NA,61,-23,42.7,1028,-13,SW,10,0,0
207,2013,1,9,14,4,NA,NA,NA,-23,39.38,1028,-12,SW,12,0,0
208,2013,1,9,15,4,50,NA,33,-23,39.38,1028,-12,SW,14,0,0
209,2013,1,9,16,4,49,NA,40,-23,39.38,1028,-12,SW,16,0,0
210,2013,1,9,17,4,NA,NA,NA,-24,42.37,1028,-14,SE,2,0,0
211,2013,1,9,18,4,NA,NA,NA,-24,46.01,1028,-15,SE,4,0,0
212,2013,1,9,19,4,67,NA,140,-24,50,1028,-16,SE,6,0,0
213,2013,1,9,20,4,82,NA,230,-25,54.07,1028,-18,SE,8,0,0
214,2013,1,9,21,4,107,NA,312,-26,58.6,1028,-20,SE,10,0,0
215,2013,1,9,22,4,152,NA,302,-27,58.31,1029,-21,SE,12,0,0
216,2013,1,9,23,4,169,NA,274,-26,69.79,1029,-22,SE,14,0,0
217,2013,1,10,0,4,184,NA,242,-27,63.66,1029,-22,SE,15,0,0
218,2013,1,10,1,4,168,NA,193,-27,69.56,1029,-23,cv,1,0,0
219,2013,1,10,2,4,180,NA,211,-26,69.79,1029,-22,cv,1,0,0
220,2013,1,10,3,4,258,NA,235,-27,63.66,1029,-22,NE,3,0,0
221,2013,1,10,4,4,286,NA,241,-26,69.79,1028,-22,SE,1,0,0
222,2013,1,10,5,4,363,NA,245,-24,64.46,1028,-19,SE,4,0,0
223,2013,1,10,6,4,373,NA,253,-27,69.56,1029,-23,NE,6,0,0
224,2013,1,10,7,4,NA,NA,NA,-27,69.56,1029,-23,NE,10,0,0
225,2013,1,10,8,4,384,NA,290,-27,69.56,1030,-23,NE,14,0,0
226,2013,1,10,9,4,412,NA,329,-25,70.03,1030,-21,NE,18,0,0
227,2013,1,10,10,4,321,NA,312,-22,64.97,1030,-17,NE,21,0,0
228,2013,1,10,11,4,269,NA,284,-20,60.3,1029,-14,NE,24,0,0
229,2013,1,10,12,4,242,NA,224,-18,60.85,1029,-12,NE,26,0,0
230,2013,1,10,13,4,201,NA,147,-16,61.39,1028,-10,NE,29,0,0
231,2013,1,10,14,4,NA,NA,NA,-15,61.65,1028,-9,NE,32,0,0
232,2013,1,10,15,4,118,NA,68,-15,57.02,1028,-8,NE,35,0,0
233,2013,1,10,16,4,88,NA,132,-16,56.74,1028,-9,NE,38,0,0
234,2013,1,10,17,4,87,NA,182,-17,61.12,1028,-11,NE,41,0,0
235,2013,1,10,18,4,133,NA,299,-17,56.45,1028,-10,SE,2,0,0
236,2013,1,10,19,4,251,NA,304,-17,61.12,1028,-11,SE,3,0,0
237,2013,1,10,20,4,NA,NA,NA,-18,65.98,1028,-13,NE,1,0,0
238,2013,1,10,21,4,283,NA,298,-18,60.85,1028,-12,SE,2,0,0
239,2013,1,10,22,4,287,NA,298,-19,60.58,1027,-13,SE,4,0,0
240,2013,1,10,23,4,269,NA,267,-18,60.85,1027,-12,SE,7,0,0
241,2013,1,11,0,4,245,NA,243,-15,61.65,1027,-9,SE,9,0,0
242,2013,1,11,1,4,225,NA,178,-13,67.19,1026,-8,SE,11,0,0
243,2013,1,11,2,4,NA,NA,NA,-12,67.42,1026,-7,SE,14,0,0
244,2013,1,11,3,4,NA,NA,NA,-11,73.05,1026,-7,SE,16,0,0
245,2013,1,11,4,4,NA,NA,NA,-11,73.05,1025,-7,SE,18,0,0
246,2013,1,11,5,4,NA,NA,NA,-11,67.65,1024,-6,SE,21,0,0
247,2013,1,11,6,4,NA,NA,NA,-11,73.05,1024,-7,SE,23,0,0
248,2013,1,11,7,4,NA,NA,NA,-11,73.05,1024,-7,SE,25,0,0
249,2013,1,11,8,4,82,NA,87,-11,67.65,1025,-6,SE,29,0,0
250,2013,1,11,9,4,NA,NA,NA,-11,62.69,1024,-5,SE,33,0,0
251,2013,1,11,10,4,87,NA,78,-9,68.11,1024,-4,SW,4,0,0
252,2013,1,11,11,4,91,NA,69,-9,63.2,1023,-3,SE,5,0,0
253,2013,1,11,12,4,102,NA,74,-8,63.45,1022,-2,SW,5,0,0
254,2013,1,11,13,4,113,NA,91,-7,68.56,1021,-2,SW,10,0,0
255,2013,1,11,14,4,173,NA,104,-7,68.56,1020,-2,SW,14,0,0
256,2013,1,11,15,4,181,NA,NA,-6,74.03,1020,-2,SW,17,0.2,0.2
257,2013,1,11,16,4,NA,NA,NA,-5,86.04,1020,-3,SW,19,0.6,0.8
258,2013,1,11,17,4,203,NA,151,-4,92.79,1020,-3,SW,23,1.1,1.9
259,2013,1,11,18,4,321,NA,226,-4,100,1021,-4,SW,27,0.5,2.4
260,2013,1,11,19,4,404,NA,329,-6,92.67,1022,-5,SW,30,0.5,2.9
261,2013,1,11,20,4,287,NA,343,-9,92.48,1022,-8,NW,5,0,0
262,2013,1,11,21,4,147,NA,196,-10,92.42,1022,-9,NW,9,0,0
263,2013,1,11,22,4,178,NA,156,-12,85.23,1023,-10,NW,13,0,0
264,2013,1,11,23,4,180,NA,193,-14,84.99,1024,-12,NW,17,0,0
265,2013,1,12,0,4,165,NA,172,-15,84.87,1024,-13,NW,20,0,0
266,2013,1,12,1,4,162,NA,167,-16,84.74,1025,-14,NW,23,0,0
267,2013,1,12,2,4,165,NA,173,-16,84.74,1025,-14,NW,24,0,0
268,2013,1,12,3,4,168,NA,175,-16,84.74,1024,-14,cv,1,0,0
269,2013,1,12,4,4,172,NA,191,-16,84.74,1024,-14,SE,2,0,0
270,2013,1,12,5,4,186,NA,205,-17,84.62,1024,-15,cv,1,0,0
271,2013,1,12,6,4,201,NA,203,-17,84.62,1023,-15,cv,2,0,0
272,2013,1,12,7,4,NA,NA,NA,-18,84.49,1023,-16,SE,1,0,0
273,2013,1,12,8,4,NA,NA,NA,-19,84.36,1023,-17,cv,0,0,0
274,2013,1,12,9,4,189,NA,239,-18,84.49,1023,-16,SW,1,0,0
275,2013,1,12,10,4,195,NA,274,-16,92.02,1023,-15,cv,0,0,0
276,2013,1,12,11,4,256,NA,237,-14,84.99,1023,-12,cv,0,0,0
277,2013,1,12,12,4,253,NA,193,-13,92.22,1023,-12,SW,4,0,0
278,2013,1,12,13,4,207,NA,198,-13,85.11,1023,-11,SW,6,0,0
279,2013,1,12,14,4,209,NA,209,-13,85.11,1024,-11,SW,9,0,0
280,2013,1,12,15,4,179,NA,133,-13,78.61,1025,-10,SW,11,0,0
281,2013,1,12,16,4,183,NA,151,-13,85.11,1025,-11,SW,12,0,0
282,2013,1,12,17,4,196,NA,296,-15,84.87,1026,-13,SW,14,0,0
283,2013,1,12,18,4,NA,NA,NA,-17,84.62,1027,-15,SE,1,0,0
284,2013,1,12,19,4,299,NA,340,-19,84.36,1027,-17,cv,1,0,0
285,2013,1,12,20,4,374,NA,300,-18,84.49,1027,-16,NE,2,0,0
286,2013,1,12,21,4,286,NA,258,-18,84.49,1028,-16,NE,6,0,0
287,2013,1,12,22,4,260,NA,242,-20,84.23,1028,-18,NE,10,0,0
288,2013,1,12,23,4,321,NA,250,-20,84.23,1027,-18,NE,14,0,0
289,2013,1,13,0,4,NA,NA,NA,-20,84.23,1028,-18,NE,16,0,0
290,2013,1,13,1,4,348,NA,323,-21,84.09,1028,-19,NE,19,0,0
291,2013,1,13,2,4,381,NA,389,-22,77.02,1028,-19,NE,23,0,0
292,2013,1,13,3,4,457,NA,389,-22,83.96,1028,-20,NE,26,0,0
293,2013,1,13,4,4,457,NA,315,-23,76.84,1028,-20,NE,29,0,0
294,2013,1,13,5,4,406,NA,346,-23,83.82,1028,-21,NE,33,0,0
295,2013,1,13,6,4,417,NA,314,-24,76.65,1027,-21,NE,35,0,0
296,2013,1,13,7,4,396,NA,319,-24,76.65,1027,-21,NE,37,0,0
297,2013,1,13,8,4,351,NA,375,-24,76.65,1027,-21,NE,41,0,0
298,2013,1,13,9,4,324,NA,355,-22,83.96,1026,-20,NE,46,0,0
299,2013,1,13,10,4,330,NA,313,-19,84.36,1026,-17,NE,50,0,0
300,2013,1,13,11,4,330,NA,305,-17,84.62,1025,-15,NE,53,0,0
301,2013,1,13,12,4,305,NA,353,-16,78.1,1024,-13,NE,55,0,0
302,2013,1,13,13,4,NA,NA,NA,-13,78.61,1023,-10,cv,1,0,0
303,2013,1,13,14,4,287,NA,347,-13,72.65,1023,-9,cv,2,0,0
304,2013,1,13,15,4,307,NA,348,-13,67.19,1022,-8,cv,3,0,0
305,2013,1,13,16,4,280,NA,387,-12,72.85,1022,-8,NE,2,0,0
306,2013,1,13,17,4,731,NA,352,-11,78.94,1022,-8,NE,3,0,0
307,2013,1,13,18,4,512,NA,391,-11,78.94,1022,-8,NW,1,0,0
308,2013,1,13,19,4,266,NA,322,-12,72.85,1022,-8,cv,1,0,0
309,2013,1,13,20,4,NA,NA,NA,-11,78.94,1021,-8,SW,3,0,0
310,2013,1,13,21,4,271,NA,299,-10,79.1,1021,-7,SE,1,0,0
311,2013,1,13,22,4,252,NA,241,-10,79.1,1021,-7,cv,1,0,0
312,2013,1,13,23,4,321,NA,251,-11,73.05,1021,-7,SW,1,0,0
313,2013,1,14,0,4,460,NA,326,-10,79.1,1022,-7,NW,2,0,0
314,2013,1,14,1,4,487,NA,452,-10,85.47,1023,-8,NW,6,0,0
315,2013,1,14,2,4,435,NA,395,-10,85.47,1023,-8,NW,10,0,0
316,2013,1,14,3,4,367,NA,389,-14,84.99,1024,-12,NW,13,0,0
317,2013,1,14,4,4,383,NA,392,-14,84.99,1025,-12,NW,17,0,0
318,2013,1,14,5,4,381,NA,364,-16,84.74,1026,-14,NW,23,0,0
319,2013,1,14,6,4,385,NA,381,-18,77.75,1027,-15,NW,26,0,0
320,2013,1,14,7,4,NA,NA,NA,-19,77.57,1028,-16,NE,3,0,0
321,2013,1,14,8,4,388,NA,432,-19,84.36,1029,-17,NW,3,0,0
322,2013,1,14,9,4,352,NA,377,-18,84.49,1030,-16,NW,6,0,0
323,2013,1,14,10,4,337,NA,349,-17,77.92,1030,-14,NW,7,0,0
324,2013,1,14,11,4,315,NA,347,-18,71.6,1030,-14,NW,10,0,0
325,2013,1,14,12,4,297,NA,328,-18,65.98,1030,-13,NW,14,0,0
326,2013,1,14,13,4,202,NA,281,-18,65.98,1030,-13,NW,18,0,0
